Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,APOLLOHOSP.NS,
2015-01-01,APOLLOHOSP,1140286816256.0,1084.1790771484375,1094.8677360223858,1077.5347375629285,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,76848,
2015-01-02,APOLLOHOSP,1140286816256.0,1086.0570068359375,1096.7938622718684,1081.9164157242717,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,172991,
2015-01-05,APOLLOHOSP,1140286816256.0,1089.667724609375,1102.0897293406833,1084.32345437925,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,137885,
2015-01-06,APOLLOHOSP,1140286816256.0,1057.216552734375,1093.519505216278,1050.3314775955562,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,164585,
2015-01-07,APOLLOHOSP,1140286816256.0,1065.498291015625,1072.7203761332185,1039.739520762875,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,208499,
2015-01-08,APOLLOHOSP,1140286816256.0,1084.612548828125,1096.7938206529295,1062.8018316946907,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,228503,
2015-01-09,APOLLOHOSP,1140286816256.0,1082.9757080078125,1094.6755088405087,1065.0649612938707,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,148255,
2015-01-12,APOLLOHOSP,1140286816256.0,1077.0052490234375,1087.9828400368542,1070.7943039017753,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,59612,
2015-01-13,APOLLOHOSP,1140286816256.0,1107.4822998046875,1114.3191813431513,1077.5347533157517,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,327470,
2015-01-14,APOLLOHOSP,1140286816256.0,1117.54541015625,1134.9746840255066,1109.3121867514246,72.49749,571.153,0.25,,,,109.39,,90.886,,,,,13.885071,,,,,Healthcare,338840,
