Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,AXISBANK.NS,
2015-01-01,AXISBANK,3325068574720.0,486.9628601074219,487.88249170010425,483.0907768399607,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,1351985,
2015-01-02,AXISBANK,3325068574720.0,497.85308837890625,500.3699779228175,485.6560498647172,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,3852825,
2015-01-05,AXISBANK,3325068574720.0,500.9991760253906,503.7580708809371,498.62751314078866,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,2561430,
2015-01-06,AXISBANK,3325068574720.0,483.0907897949219,497.12709201587757,480.8643536730861,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5284530,
2015-01-07,AXISBANK,3325068574720.0,482.7035827636719,489.189334165417,478.6863022125841,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4245189,
2015-01-08,AXISBANK,3325068574720.0,485.8980407714844,490.7865338780676,478.83147137527186,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5637844,
2015-01-09,AXISBANK,3325068574720.0,479.1219177246094,489.7217280018251,471.42614037210046,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5078463,
2015-01-12,AXISBANK,3325068574720.0,485.5108337402344,487.6888805999752,476.4114438789807,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,2290147,
2015-01-13,AXISBANK,3325068574720.0,488.36651611328125,495.3362780112415,484.3008167491958,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4069260,
2015-01-14,AXISBANK,3325068574720.0,483.6231994628906,489.57652149763607,478.39589303095926,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,2973231,
2015-01-15,AXISBANK,3325068574720.0,497.6111145019531,507.19454471158923,494.75547067137626,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6670800,
2015-01-16,AXISBANK,3325068574720.0,498.3371276855469,504.8228792742839,496.20746997357736,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6920742,
2015-01-19,AXISBANK,3325068574720.0,512.03466796875,514.7935039063384,500.32157960366936,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6113156,
2015-01-20,AXISBANK,3325068574720.0,533.7667236328125,536.9611806409582,514.115852989329,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6934581,
2015-01-21,AXISBANK,3325068574720.0,529.7493896484375,538.9939765912885,528.103742450503,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4459351,
2015-01-22,AXISBANK,3325068574720.0,546.6897583007812,549.0130319029765,530.2817935789446,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5546866,
2015-01-23,AXISBANK,3325068574720.0,547.076904296875,558.9351574829824,542.3819686058691,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4975114,
2015-01-27,AXISBANK,3325068574720.0,573.1651000976562,578.6828305518213,548.867801309684,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5376830,
2015-01-28,AXISBANK,3325068574720.0,571.7130737304688,580.6188771078248,564.7917603044746,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6370073,
2015-01-29,AXISBANK,3325068574720.0,580.3284912109375,582.7485433010581,563.4849050303765,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5424486,
2015-01-30,AXISBANK,3325068574720.0,569.2930297851562,584.7329739296943,565.0337735584822,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4497194,
2015-02-02,AXISBANK,3325068574720.0,597.559326171875,601.1410155368242,565.7114720708765,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6307718,
2015-02-03,AXISBANK,3325068574720.0,567.8409423828125,605.5937512383002,565.8081224623743,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,9290016,
2015-02-04,AXISBANK,3325068574720.0,540.7365112304688,573.0684365187363,535.5576224729575,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,10773056,
2015-02-05,AXISBANK,3325068574720.0,547.802978515625,560.0000166096725,540.7363796132889,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6865785,
2015-02-06,AXISBANK,3325068574720.0,545.1409912109375,553.2239420591438,528.2974039873627,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,7706020,
2015-02-09,AXISBANK,3325068574720.0,535.8963623046875,551.3846971583872,532.4115105959285,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4334546,
2015-02-10,AXISBANK,3325068574720.0,536.3803100585938,551.5782486735992,523.2152506054498,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,9809275,
2015-02-11,AXISBANK,3325068574720.0,551.0458984375,554.3371931374675,537.735611035628,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6200994,
2015-02-12,AXISBANK,3325068574720.0,560.2420043945312,562.9040614348509,545.9636984509989,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5849894,
2015-02-13,AXISBANK,3325068574720.0,562.5169067382812,569.9222900641568,558.064034347323,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4633409,
2015-02-16,AXISBANK,3325068574720.0,552.062255859375,565.3241527666221,547.9965566426808,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4284303,
2015-02-18,AXISBANK,3325068574720.0,551.287841796875,555.6439353668239,545.963727433604,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4695905,
2015-02-19,AXISBANK,3325068574720.0,547.1736450195312,557.1926346121373,535.5573978010715,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5349212,
2015-02-20,AXISBANK,3325068574720.0,543.5436401367188,552.546221113063,536.2834846584901,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6025707,
2015-02-23,AXISBANK,3325068574720.0,531.4918212890625,548.8678068863398,528.5877588187644,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6089272,
2015-02-24,AXISBANK,3325068574720.0,534.15380859375,537.9291129439953,524.6672175832578,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6155111,
2015-02-25,AXISBANK,3325068574720.0,535.3156127929688,540.7365067575471,532.5083282607293,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4185156,
2015-02-26,AXISBANK,3325068574720.0,534.6378173828125,539.8167635447521,526.4096414853011,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5579001,
2015-02-27,AXISBANK,3325068574720.0,549.0130615234375,552.1106810490853,532.7502635972606,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5791546,
2015-03-02,AXISBANK,3325068574720.0,626.8419189453125,629.2135819554984,608.5947487019257,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,13205219,
2015-03-03,AXISBANK,3325068574720.0,611.2084350585938,628.2455796879957,608.4495399751561,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6817671,
2015-03-04,AXISBANK,3325068574720.0,593.1548461914062,633.9569534917526,588.701973386574,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,10097232,
2015-03-05,AXISBANK,3325068574720.0,597.0752563476562,602.1089766507868,584.2005906893083,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6914112,
2015-03-09,AXISBANK,3325068574720.0,572.6810302734375,590.4926350289402,570.3094267928266,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6043383,
2015-03-10,AXISBANK,3325068574720.0,566.7279052734375,575.7788779742499,561.4521790160209,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5791801,
2015-03-11,AXISBANK,3325068574720.0,565.1788330078125,573.7458512123889,561.451977137715,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5816344,
2015-03-12,AXISBANK,3325068574720.0,565.4209594726562,574.520379170344,564.065765721563,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4512080,
2015-03-13,AXISBANK,3325068574720.0,551.7719116210938,572.0519612420742,546.060564692044,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6749149,
2015-03-16,AXISBANK,3325068574720.0,550.4166870117188,555.4504077544345,541.2204880121973,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6445254,
2015-03-17,AXISBANK,3325068574720.0,561.5488891601562,567.066619995819,548.9162284859453,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5627580,
2015-03-18,AXISBANK,3325068574720.0,562.662109375,567.0665923500061,557.3379947916667,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5847672,
2015-03-19,AXISBANK,3325068574720.0,545.5281372070312,576.5048043505999,540.6396437400975,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,7705218,
2015-03-20,AXISBANK,3325068574720.0,538.4616088867188,545.9637706285113,534.0571257452951,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,8160665,
2015-03-23,AXISBANK,3325068574720.0,537.4452514648438,544.027782208714,534.9768098213062,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4191424,
2015-03-24,AXISBANK,3325068574720.0,540.2039794921875,547.8997564390423,533.62145006541,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6309451,
2015-03-25,AXISBANK,3325068574720.0,544.2213134765625,549.0130283227791,536.1867525365932,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5578540,
2015-03-26,AXISBANK,3325068574720.0,526.8937377929688,543.4953190338691,520.3112078177032,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,9233047,
2015-03-27,AXISBANK,3325068574720.0,528.9266967773438,533.6215749828701,509.275823257356,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,10655577,
2015-03-30,AXISBANK,3325068574720.0,545.5281372070312,547.3674004520021,531.7822293454119,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6631597,
2015-03-31,AXISBANK,3325068574720.0,542.2853393554688,555.1600059684145,539.429665781864,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,5970862,
2015-04-01,AXISBANK,3325068574720.0,551.43310546875,553.7079308520407,537.493581478314,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,3753262,
2015-04-06,AXISBANK,3325068574720.0,550.8523559570312,553.659640580681,544.1245979739028,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,4305263,
2015-04-07,AXISBANK,3325068574720.0,540.0104370117188,554.675977322952,537.2516010719693,11.964266,625.663,0.09,,0.15557,,89.55,,,,,,,1.7124234,,,,,Financial Services,6754389,
