Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,,,,,,,,,,,,,,,,,,,,BAJAJ-AUTO.NS,
2015-01-01,BAJAJ-AUTO,2423053615104.0,1845.3590087890625,1849.9872854737243,1827.5236723925889,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,72928,
2015-01-02,BAJAJ-AUTO,2423053615104.0,1845.05810546875,1863.6083255639267,1830.1952941776283,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,164726,
2015-01-05,BAJAJ-AUTO,2423053615104.0,1851.793701171875,1867.2209257938548,1843.7414792122295,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,118873,
2015-01-06,BAJAJ-AUTO,2423053615104.0,1837.3448486328125,1858.717125623582,1828.6905517828116,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,580496,
2015-01-07,BAJAJ-AUTO,2423053615104.0,1841.634033203125,1863.0064904428914,1830.233013134212,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,189191,
2015-01-08,BAJAJ-AUTO,2423053615104.0,1844.04248046875,1855.0297484127968,1833.2811972672062,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,4301348,
2015-01-09,BAJAJ-AUTO,2423053615104.0,1787.940185546875,1857.964588695116,1768.4867577209718,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,245974,
2015-01-12,BAJAJ-AUTO,2423053615104.0,1756.4459228515625,1803.103869388322,1748.2432283223595,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,203022,
2015-01-13,BAJAJ-AUTO,2423053615104.0,1748.9957275390625,1772.3621805563507,1741.2444515023715,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,161658,
2015-01-14,BAJAJ-AUTO,2423053615104.0,1778.6083984375,1783.462293193393,1744.6309514188274,31.925539,1260.082,2.42,,,,271.82,,26.301,,,,,6.886853,,,,,Consumer Cyclical,217775,
