Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,BEL.NS,BEL.NS,BEL.NS,,,,,,,,,,,,,,,,,,,,BEL.NS,
2015-01-01,BEL,2759076610048.0,24.557106018066406,25.33951268906277,21.830579193664,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,16552206,
2015-01-02,BEL,2759076610048.0,24.43429183959961,24.796462968581345,24.10303179419558,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,10896534,
2015-01-05,BEL,2759076610048.0,23.972702026367188,24.462281664743774,23.902523412821928,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,7117209,
2015-01-06,BEL,2759076610048.0,23.6556396484375,24.345311354244387,23.33148033220314,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,14174127,
2015-01-07,BEL,2759076610048.0,26.843341827392578,27.40226549186603,23.735428910806128,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,106931187,
2015-01-08,BEL,2759076610048.0,26.271053314208984,27.277782295077014,26.07555497292121,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,53019450,
2015-01-09,BEL,2759076610048.0,26.753114700317383,27.72893261440848,26.325357259948436,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,41711868,
2015-01-12,BEL,2759076610048.0,26.860462188720703,27.311195378625488,26.471557466569283,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,30037887,
2015-01-13,BEL,2759076610048.0,27.84547996520996,28.639166422771627,26.951954823890567,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,67516218,
2015-01-14,BEL,2759076610048.0,27.47870635986328,28.02969153665549,27.286131313963306,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,20496861,
2015-01-15,BEL,2759076610048.0,27.32415199279785,27.88766960706348,27.202593202163865,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,11048400,
2015-01-16,BEL,2759076610048.0,27.519641876220703,28.14665689782564,27.35714494504025,50.19282,27.326,0.64,,,,7.52,,0.306,,,,,13.812853,,,,,Industrials,21368655,
