Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,,,,,,,,,,,,,,,,,,,,DRREDDY.NS,
2015-01-01,DRREDDY,1065268477952.0,597.1715087890625,601.7286729125757,595.9624826229642,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,378210,
2015-01-02,DRREDDY,1065268477952.0,599.1990356445312,603.1516583950275,598.0085714280301,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,430070,
2015-01-05,DRREDDY,1065268477952.0,585.6204223632812,599.1988744532568,584.2439981521263,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1468825,
2015-01-06,DRREDDY,1065268477952.0,570.2100219726562,582.1981084685871,568.2476745595953,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1956675,
2015-01-07,DRREDDY,1065268477952.0,565.3087158203125,572.5350008054049,559.8773227955714,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1597185,
2015-01-08,DRREDDY,1065268477952.0,570.3494262695312,575.5110743520996,565.6434831809347,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1394180,
2015-01-09,DRREDDY,1065268477952.0,588.4849853515625,589.6382118887176,574.9809500944718,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,2968190,
2015-01-12,DRREDDY,1065268477952.0,596.5669555664062,597.8224716784424,581.5748965940821,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1671110,
2015-01-13,DRREDDY,1065268477952.0,599.5616455078125,602.2866230569256,593.3583693585651,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,2453370,
2015-01-14,DRREDDY,1065268477952.0,596.7530517578125,599.5338290183116,593.544440778599,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1656545,
2015-01-15,DRREDDY,1065268477952.0,602.7610473632812,605.253518130112,595.9532286578502,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,2218360,
2015-01-16,DRREDDY,1065268477952.0,611.1777954101562,612.8890736422125,601.0312046149921,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,2110020,
2015-01-19,DRREDDY,1065268477952.0,618.2645263671875,619.3991341708353,608.1829899577791,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1243345,
2015-01-20,DRREDDY,1065268477952.0,614.9722290039062,621.6312669390829,612.3960310868484,18.773655,420.557,0.63,,0.17712,,68.17,,13.751,,,,,3.0431073,,,,,Healthcare,1488550,
