Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,,,,,,,,,,,,,,,,,,,,EICHERMOT.NS,
2015-01-01,EICHERMOT,1630582865920.0,1410.342041015625,1419.425570366165,1387.115630067095,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,291150,
2015-01-02,EICHERMOT,1630582865920.0,1393.671875,1427.6868035776608,1387.3005337513364,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,399730,
2015-01-05,EICHERMOT,1630582865920.0,1400.01123046875,1408.8313705595117,1387.9474960421248,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,353760,
2015-01-06,EICHERMOT,1630582865920.0,1363.542724609375,1387.4853098928502,1352.8328296257962,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,481180,
2015-01-07,EICHERMOT,1630582865920.0,1382.393798828125,1386.0715642913785,1359.8234365553237,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,318150,
2015-01-08,EICHERMOT,1630582865920.0,1374.42822265625,1395.3398434983362,1368.6343100261402,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,294870,
2015-01-09,EICHERMOT,1630582865920.0,1361.9534912109375,1384.251213874374,1344.516365946071,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,387420,
2015-01-12,EICHERMOT,1630582865920.0,1372.945068359375,1399.4980939312832,1349.1596162162136,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,657230,
2015-01-13,EICHERMOT,1630582865920.0,1367.53955078125,1381.2202885471106,1357.4533314900757,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,144320,
2015-01-14,EICHERMOT,1630582865920.0,1370.71826171875,1381.1093820931842,1360.2347572803696,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,157940,
2015-01-15,EICHERMOT,1630582865920.0,1397.8580322265625,1410.9567158481,1371.7762860605621,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,461690,
2015-01-16,EICHERMOT,1630582865920.0,1418.4139404296875,1421.6759213546427,1387.1158211482414,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,329840,
2015-01-19,EICHERMOT,1630582865920.0,1429.9554443359375,1440.7023387433096,1419.3656817907874,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,382660,
2015-01-20,EICHERMOT,1630582865920.0,1431.443115234375,1439.8614572074594,1423.2466529164035,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,367410,
2015-01-21,EICHERMOT,1630582865920.0,1420.5067138671875,1436.9227613944192,1408.2767127749805,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,260600,
2015-01-22,EICHERMOT,1630582865920.0,1415.2027587890625,1424.0922711105436,1408.3970202581675,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,140850,
2015-01-23,EICHERMOT,1630582865920.0,1399.586181640625,1424.9194955517364,1396.5414553507346,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,1040970,
2015-01-27,EICHERMOT,1630582865920.0,1486.7530517578125,1490.795840827557,1394.8038526435028,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,1340650,
2015-01-28,EICHERMOT,1630582865920.0,1509.9473876953125,1523.9470140448152,1478.5060107502404,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,850260,
2015-01-29,EICHERMOT,1630582865920.0,1522.7548828125,1538.5887666290391,1506.320333388473,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,615340,
2015-01-30,EICHERMOT,1630582865920.0,1504.000732421875,1537.6460111614474,1480.353912187884,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,374570,
2015-02-02,EICHERMOT,1630582865920.0,1530.4151611328125,1561.2096176448433,1513.4169478099643,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,508360,
2015-02-03,EICHERMOT,1630582865920.0,1508.4085693359375,1544.4748973402714,1502.069489241673,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,310210,
2015-02-04,EICHERMOT,1630582865920.0,1471.067138671875,1515.4593149166965,1459.3222933925394,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,272800,
2015-02-05,EICHERMOT,1630582865920.0,1463.4945068359375,1486.1480038492873,1456.3699923465351,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,291850,
2015-02-06,EICHERMOT,1630582865920.0,1440.4112548828125,1476.6577275434365,1432.487319859454,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,215600,
2015-02-09,EICHERMOT,1630582865920.0,1396.77685546875,1439.6950580646694,1392.3459176823128,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,265960,
2015-02-10,EICHERMOT,1630582865920.0,1398.4031982421875,1435.0748198204158,1363.4643136035568,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,528920,
2015-02-11,EICHERMOT,1630582865920.0,1491.5631103515625,1496.987374907859,1406.6136475244793,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,398680,
2015-02-12,EICHERMOT,1630582865920.0,1517.127197265625,1535.691654291205,1485.3254252056913,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,426470,
2015-02-13,EICHERMOT,1630582865920.0,1503.2154541015625,1559.0844609380713,1423.2467283689639,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,741780,
2015-02-16,EICHERMOT,1630582865920.0,1483.2276611328125,1551.3221478013575,1476.2094064741443,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,710030,
2015-02-18,EICHERMOT,1630582865920.0,1566.042724609375,1575.3157606973773,1506.2279363272,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,929620,
2015-02-19,EICHERMOT,1630582865920.0,1537.6832275390625,1589.3939384158355,1524.709301387284,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,492290,
2015-02-20,EICHERMOT,1630582865920.0,1511.96630859375,1541.804442043141,1506.348026752249,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,305210,
2015-02-23,EICHERMOT,1630582865920.0,1476.8331298828125,1517.1132519531182,1471.5752479764553,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,332010,
2015-02-24,EICHERMOT,1630582865920.0,1463.9287109375,1483.126208249348,1450.6868832815696,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,392330,
2015-02-25,EICHERMOT,1630582865920.0,1441.210693359375,1480.354126001413,1434.1508137042404,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,438780,
2015-02-26,EICHERMOT,1630582865920.0,1405.0748291015625,1447.355476519162,1390.821064894312,33.728584,776.779,1.17,,,,176.26,,2.151,,,,,7.6533995,,,,,Consumer Cyclical,557840,
