Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ETERNAL.NS,ETERNAL.NS,ETERNAL.NS,,,,,,,,,,,,,,,,,,,,ETERNAL.NS,
2025-04-07,ETERNAL,2922826170368.0,209.6300048828125,211.0,194.8000030517578,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,64932920,
2025-04-08,ETERNAL,2922826170368.0,215.19000244140625,219.19000244140625,210.80999755859375,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,62002510,
2025-04-09,ETERNAL,2922826170368.0,211.38999938964844,216.0,209.86000061035156,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,253599310,
2025-04-11,ETERNAL,2922826170368.0,217.1999969482422,218.30999755859375,214.10000610351562,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,28917540,
2025-04-15,ETERNAL,2922826170368.0,222.22999572753906,224.25,220.10000610351562,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,45034490,
2025-04-16,ETERNAL,2922826170368.0,222.0800018310547,222.63999938964844,218.39999389648438,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,26155870,
2025-04-17,ETERNAL,2922826170368.0,231.60000610351562,236.13999938964844,220.3800048828125,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,70125930,
2025-04-21,ETERNAL,2922826170368.0,234.24000549316406,235.3000030517578,227.10000610351562,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,66028530,
2025-04-22,ETERNAL,2922826170368.0,237.47000122070312,243.4499969482422,235.0,1005.9375,31.094,,,,,0.32,,6.747,,,,,10.352479,,,,,Consumer Cyclical,59667380,
