Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,,,,,,,,,,,,,,,,,,,,HDFCBANK.NS,
2015-01-01,HDFCBANK,15104517079040.0,436.5212097167969,437.5987170345552,433.3116634669186,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,1772470,
2015-01-02,HDFCBANK,15104517079040.0,442.5964660644531,444.43049267446645,435.7647337331687,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2950192,
2015-01-05,HDFCBANK,15104517079040.0,438.85955810546875,445.00352912056246,437.9195972844299,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2398000,
2015-01-06,HDFCBANK,15104517079040.0,432.0278625488281,438.5845016156051,429.8728758385526,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4109840,
2015-01-07,HDFCBANK,15104517079040.0,433.28875732421875,436.2002631767796,429.27682438603154,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2873056,
2015-01-08,HDFCBANK,15104517079040.0,442.3901062011719,444.27000015580757,434.75598768138144,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4762912,
2015-01-09,HDFCBANK,15104517079040.0,447.3420104980469,449.33650317014957,443.19250305524196,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4492592,
2015-01-12,HDFCBANK,15104517079040.0,443.3988342285156,446.76887477499,442.2296479103608,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2063206,
2015-01-13,HDFCBANK,15104517079040.0,441.70233154296875,445.6455051799241,438.1947727675341,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2914174,
2015-01-14,HDFCBANK,15104517079040.0,441.95452880859375,446.8834748241107,440.02879546599195,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,1842616,
2015-01-15,HDFCBANK,15104517079040.0,455.3658752441406,457.68132815134277,445.09531543741093,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,5699238,
2015-01-16,HDFCBANK,15104517079040.0,459.1255798339844,465.3383667483211,457.8417669310854,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,3910654,
2015-01-19,HDFCBANK,15104517079040.0,460.5928039550781,467.67673659163233,459.85920458188446,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2119746,
2015-01-20,HDFCBANK,15104517079040.0,468.1123352050781,470.88629463489053,459.42362923482017,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4252902,
2015-01-21,HDFCBANK,15104517079040.0,467.6538391113281,473.6143972684548,466.9202117182031,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,3370306,
2015-01-22,HDFCBANK,15104517079040.0,468.2499084472656,473.4081081731229,467.011934916055,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,3235340,
2015-01-23,HDFCBANK,15104517079040.0,478.1307373046875,480.51494939841626,469.69420409833936,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4993956,
2015-01-27,HDFCBANK,15104517079040.0,492.45904541015625,494.15549747414883,477.25954013935024,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4981200,
2015-01-28,HDFCBANK,15104517079040.0,485.26043701171875,501.239380435719,483.7244511334079,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,5682470,
2015-01-29,HDFCBANK,15104517079040.0,502.06475830078125,504.63238422684884,486.47553292888483,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,10283808,
2015-01-30,HDFCBANK,15104517079040.0,493.9720458984375,501.85839254677285,487.96562097798795,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,5285208,
2015-02-02,HDFCBANK,15104517079040.0,495.9206848144531,501.14767079997023,482.50936791518586,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2855176,
2015-02-03,HDFCBANK,15104517079040.0,487.8968811035156,496.1958396967305,483.86205644645094,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,5100344,
2015-02-04,HDFCBANK,15104517079040.0,489.5474853515625,495.55396672157497,484.75611366270635,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,3098756,
2015-02-05,HDFCBANK,15104517079040.0,493.5823059082031,501.0559851344012,490.76247940408354,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,4029574,
2015-02-06,HDFCBANK,15104517079040.0,483.0366516113281,494.7056209494717,481.4548263979583,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,3451560,
2015-02-09,HDFCBANK,15104517079040.0,476.8927307128906,482.23434410208836,474.32510480020005,22.520306,708.586,1.1,,0.13925,,87.41,,,,,,,2.7780678,,,,,Financial Services,2615948,
