Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,,,,,,,,,,,,,,,HINDUNILVR.NS,
2015-01-01,HINDUNILVR,6176132562944.0,640.709716796875,643.6241558614621,637.077250692687,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,372132,
2015-01-02,HINDUNILVR,6176132562944.0,638.5978393554688,647.0876870788669,635.8101350887055,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,1207322,
2015-01-05,HINDUNILVR,6176132562944.0,642.2723999023438,643.6240497472223,637.8796281367852,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,849252,
2015-01-06,HINDUNILVR,6176132562944.0,654.43701171875,658.8297836253563,638.1331184201613,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,2738679,
2015-01-07,HINDUNILVR,6176132562944.0,677.4146728515625,681.5539757425081,658.0696023010535,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3744143,
2015-01-08,HINDUNILVR,6176132562944.0,690.2127685546875,696.928636637962,678.4706079159254,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3076833,
2015-01-09,HINDUNILVR,6176132562944.0,730.3810424804688,733.591178616179,690.2126286071906,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3825060,
2015-01-12,HINDUNILVR,6176132562944.0,757.4136352539062,760.1168841325385,730.0856034938033,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,4338065,
2015-01-13,HINDUNILVR,6176132562944.0,747.2342529296875,767.5930490504965,740.3494732327975,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3371700,
2015-01-14,HINDUNILVR,6176132562944.0,780.6022338867188,789.4300061725398,748.4590534712362,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,4578199,
2015-01-15,HINDUNILVR,6176132562944.0,778.4904174804688,791.8799262316836,768.4800083184838,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3534537,
2015-01-16,HINDUNILVR,6176132562944.0,794.9631958007812,799.9895395450159,781.4047772746986,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,2021113,
2015-01-19,HINDUNILVR,6176132562944.0,753.9923095703125,800.3275360086859,748.5013565937451,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,7705398,
2015-01-20,HINDUNILVR,6176132562944.0,756.4420776367188,762.8200198717843,741.4897812208844,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,4355821,
2015-01-21,HINDUNILVR,6176132562944.0,795.7235717773438,801.1722969590132,750.5710328169498,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,4103989,
2015-01-22,HINDUNILVR,6176132562944.0,798.0043334960938,812.069587913633,786.7267314205819,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3585572,
2015-01-23,HINDUNILVR,6176132562944.0,815.4487915039062,818.4476864508011,798.0044862155273,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,2450001,
2015-01-27,HINDUNILVR,6176132562944.0,795.7235717773438,817.6451558672074,791.2040641664233,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3274894,
2015-01-28,HINDUNILVR,6176132562944.0,788.8812255859375,794.7523336772344,784.0661218928337,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,2246526,
2015-01-29,HINDUNILVR,6176132562944.0,795.4278564453125,800.8343537189637,782.5875156507046,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,3421454,
2015-01-30,HINDUNILVR,6176132562944.0,787.78271484375,794.9209633495188,783.7700957407636,57.380486,210.258,1.81,,,,45.81,,3.322,,,,,12.501784,,,,,Consumer Defensive,1562161,
