Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,INDUSINDBK.NS,INDUSINDBK.NS,INDUSINDBK.NS,,,,,,,,,,,,,,,,,,,,INDUSINDBK.NS,
2015-01-01,INDUSINDBK,594279137280.0,764.6309814453125,767.1734851199142,751.8243771597118,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,819116,
2015-01-02,INDUSINDBK,594279137280.0,768.3035888671875,775.318938849984,764.6310767157805,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,640249,
2015-01-05,INDUSINDBK,594279137280.0,771.3167724609375,773.8592761396156,764.67805436493,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,336910,
2015-01-06,INDUSINDBK,594279137280.0,751.8243408203125,768.3975993858567,746.1272293059761,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,485801,
2015-01-07,INDUSINDBK,594279137280.0,745.7506713867188,758.5102046124681,740.6656637849522,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,737973,
2015-01-08,INDUSINDBK,594279137280.0,752.1068115234375,757.5684495091319,742.4547585620097,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,623621,
2015-01-09,INDUSINDBK,594279137280.0,755.21435546875,763.5009852807198,745.3739574219001,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,544145,
2015-01-12,INDUSINDBK,594279137280.0,781.0630493164062,790.244271353611,750.506047554072,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,896776,
2015-01-13,INDUSINDBK,594279137280.0,777.3433837890625,799.6137532678284,772.2113051328477,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,3264664,
2015-01-14,INDUSINDBK,594279137280.0,769.0098266601562,784.3118646319222,763.7835461731947,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,1238612,
2015-01-15,INDUSINDBK,594279137280.0,781.9104614257812,799.4725131196004,776.8725834201064,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,1493767,
2015-01-16,INDUSINDBK,594279137280.0,783.322998046875,788.9729807675823,765.8551462969413,59.177654,832.415,1.92,,,,12.89,,,,,,,0.91636986,,,,,Financial Services,1160723,
