Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,INFY.NS,INFY.NS,INFY.NS,,,,,,,,,,,,,,,,,,,,INFY.NS,
2015-01-01,INFY,6190132101120.0,380.6345520019531,382.09971269209115,377.26081589089785,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,2002764,
2015-01-02,INFY,6190132101120.0,388.1145324707031,389.24234290773484,380.17180438868616,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,6778320,
2015-01-05,INFY,6190132101120.0,384.7793884277344,391.35334884201393,381.2321415443756,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,9937024,
2015-01-06,INFY,6190132101120.0,376.7402038574219,382.6779875869568,372.8652324681153,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,9667316,
2015-01-07,INFY,6190132101120.0,378.54278564453125,380.70196703041677,375.93054093394744,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,7249916,
2015-01-08,INFY,6190132101120.0,380.451416015625,384.99151059394296,375.93061875723026,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,13564920,
2015-01-09,INFY,6190132101120.0,399.922607421875,406.5833348142574,368.8071448644462,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,44863328,
2015-01-12,INFY,6190132101120.0,407.9232482910156,408.54979929058516,400.0287151097661,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,12758888,
2015-01-13,INFY,6190132101120.0,402.7083740234375,406.3520370113038,400.0286826386777,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,8801236,
2015-01-14,INFY,6190132101120.0,410.37152099609375,411.2101540609821,403.42166364053105,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,9921260,
2015-01-15,INFY,6190132101120.0,411.45111083984375,415.0272796094187,407.2098436787911,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,8342452,
2015-01-16,INFY,6190132101120.0,408.37628173828125,416.41540302218954,407.1617273994742,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,6690960,
2015-01-19,INFY,6190132101120.0,405.3301696777344,411.0848165970708,403.8071881046406,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,4087744,
2015-01-20,INFY,6190132101120.0,409.5136413574219,411.2101577506835,405.12778524451613,22.274761,2.67,4.21,,0.30365,,67.04,,8.894,,,,,559.2884,,,,,Technology,6804504,
