Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,JIOFIN.NS,JIOFIN.NS,JIOFIN.NS,,,,,,,,,,,,,,,,,,,,JIOFIN.NS,
2023-08-21,JIOFIN,2051111387136.0,248.51246643066406,261.64198630571326,248.51246643066406,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,74715306,
2023-08-22,JIOFIN,2051111387136.0,236.0818634033203,236.0818634033203,236.0818634033203,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,7281398,
2023-08-23,JIOFIN,2051111387136.0,224.30023193359375,224.30023193359375,224.30023193359375,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,4289046,
2023-08-24,JIOFIN,2051111387136.0,213.11767578125,213.11767578125,213.11767578125,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,27673350,
2023-08-25,JIOFIN,2051111387136.0,214.16603088378906,223.751090108265,202.48425042804325,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,281040100,
2023-08-28,JIOFIN,2051111387136.0,210.8212432861328,221.90396720216597,207.22685745784798,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,87522120,
2023-08-29,JIOFIN,2051111387136.0,219.90708923339844,221.3548286580761,206.92732914243734,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,92693420,
2023-08-30,JIOFIN,2051111387136.0,230.88995361328125,230.88995361328125,224.35014863690412,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,21403170,
2023-08-31,JIOFIN,2051111387136.0,233.13645935058594,242.42198304838664,230.79011201685617,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,124122100,
2023-09-01,JIOFIN,2051111387136.0,244.768310546875,244.768310546875,233.83536206535717,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,39481020,
2023-09-04,JIOFIN,2051111387136.0,253.05538940429688,266.534385890434,248.61232085371677,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,99246730,
2023-09-05,JIOFIN,2051111387136.0,254.6529083251953,259.59519848002003,252.606096982481,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,47127070,
2023-09-06,JIOFIN,2051111387136.0,252.45632934570312,259.3954902078186,245.66691361089178,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,225413100,
2023-09-07,JIOFIN,2051111387136.0,251.40797424316406,256.89939602790463,250.85882749418025,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,43856830,
2023-09-08,JIOFIN,2051111387136.0,252.8057861328125,254.60298673323,249.11154976447406,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,36090000,
2023-09-11,JIOFIN,2051111387136.0,249.76052856445312,257.29879204605777,249.6107681975475,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,24982850,
2023-09-12,JIOFIN,2051111387136.0,243.86972045898438,251.60765427088663,240.5249300720847,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,39500710,
2023-09-13,JIOFIN,2051111387136.0,239.82601928710938,247.41419261567373,236.23163342228838,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,27810990,
2023-09-14,JIOFIN,2051111387136.0,242.17236328125,244.16924936852473,240.87438427751505,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,14055230,
2023-09-15,JIOFIN,2051111387136.0,239.0272674560547,244.2690936303983,237.27999206460683,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,27416100,
2023-09-18,JIOFIN,2051111387136.0,232.8369140625,240.47501246547327,231.7386358586629,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,24694410,
2023-09-20,JIOFIN,2051111387136.0,229.29244995117188,231.63879731105115,228.6434680354772,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,18317600,
2023-09-21,JIOFIN,2051111387136.0,227.29556274414062,235.2331974767013,226.4468952609017,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,33101550,
2023-09-22,JIOFIN,2051111387136.0,227.44532775878906,231.8883962436854,225.99758839652375,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,38327550,
2023-09-25,JIOFIN,2051111387136.0,229.3922882080078,230.49058164490978,227.14579137027977,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,13392150,
2023-09-26,JIOFIN,2051111387136.0,230.04127502441406,231.33925404995327,229.64190389426295,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,8058261,
2023-09-27,JIOFIN,2051111387136.0,226.99603271484375,230.84002930283367,226.64657155455748,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,10984320,
2023-09-28,JIOFIN,2051111387136.0,224.69961547851562,228.49370218355244,224.4000795111384,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,9143582,
2023-09-29,JIOFIN,2051111387136.0,230.84002685546875,232.53737696951,224.64968307983085,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,12411230,
2023-10-03,JIOFIN,2051111387136.0,231.0397186279297,233.5358262848219,230.1910511656056,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,13185430,
2023-10-04,JIOFIN,2051111387136.0,224.30023193359375,229.6419085081217,223.1520284850661,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,23296540,
2023-10-05,JIOFIN,2051111387136.0,225.04905700683594,227.54516462774154,223.8509283958076,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,13894930,
2023-10-06,JIOFIN,2051111387136.0,224.74954223632812,227.2955598890971,223.35171279055868,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,7531900,
2023-10-09,JIOFIN,2051111387136.0,219.30801391601562,222.65280428971707,218.50927164919037,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,9696908,
2023-10-10,JIOFIN,2051111387136.0,219.80723571777344,223.55139722944364,219.4078645838748,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,10451280,
2023-10-11,JIOFIN,2051111387136.0,224.74954223632812,227.3454850898446,220.25654839963147,126.11329,194.387,0.15,,,,2.56,,3.215,,,,,1.6608622,,,,,Financial Services,11765080,
