Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,LT.NS,LT.NS,LT.NS,,,,,,,,,,,,,,,,,,,,LT.NS,
2015-01-01,LT,4940842926080.0,866.72509765625,869.0029657073327,860.4104339135824,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,674298,
2015-01-02,LT,4940842926080.0,885.0057983398438,887.5143883926414,865.8887941335614,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1936584,
2015-01-05,LT,4940842926080.0,897.318115234375,905.9683537951379,891.1763613812475,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,2176527,
2015-01-06,LT,4940842926080.0,867.3882446289062,890.8304224416479,862.7459218485925,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,3048025,
2015-01-07,LT,4940842926080.0,865.3121337890625,870.7906531177186,856.690722775305,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,2063635,
2015-01-08,LT,4940842926080.0,870.8194580078125,878.5758450137406,867.4170170289137,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1455954,
2015-01-09,LT,4940842926080.0,865.1680297851562,878.8642230106785,858.1036508135759,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1735729,
2015-01-12,LT,4940842926080.0,884.7463989257812,886.3610855025729,862.1981242480239,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1535320,
2015-01-13,LT,4940842926080.0,876.2691040039062,892.2143900315448,874.3660410962528,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1318348,
2015-01-14,LT,4940842926080.0,875.4041137695312,884.6887063747566,865.0238278355051,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,1476891,
2015-01-15,LT,4940842926080.0,907.5252685546875,914.7338353716544,885.4960416841249,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,3419091,
2015-01-16,LT,4940842926080.0,917.9343872070312,929.6122085066701,899.6247519721728,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,4195027,
2015-01-19,LT,4940842926080.0,931.2559814453125,935.9559592136914,923.7879691404187,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,2087947,
2015-01-20,LT,4940842926080.0,939.7330932617188,942.2993376918135,923.2688132228424,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,2088778,
2015-01-21,LT,4940842926080.0,954.1500244140625,962.0217194292173,940.4249527402214,31.173204,710.123,0.94,,,,115.24,,114.735,,,,,5.0588417,,,,,Industrials,3705237,
