Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,MARUTI.NS,MARUTI.NS,MARUTI.NS,,,,,,,,,,,,,,,,,,,,MARUTI.NS,
2015-01-01,MARUTI,4512940556288.0,3032.034912109375,3049.5060404662127,3013.429294898197,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,299232,
2015-01-02,MARUTI,4512940556288.0,3049.143310546875,3070.3808547857475,3040.884142465163,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,233924,
2015-01-05,MARUTI,4512940556288.0,3129.192626953125,3148.7512593994493,3064.07296577666,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,536747,
2015-01-06,MARUTI,4512940556288.0,3081.498779296875,3121.2058911720646,3069.926992407534,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,422743,
2015-01-07,MARUTI,4512940556288.0,3120.0712890625,3139.312175974257,3069.518509350901,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,369241,
2015-01-08,MARUTI,4512940556288.0,3154.33251953125,3185.236037387726,3125.74340304003,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,422022,
2015-01-09,MARUTI,4512940556288.0,3147.707275390625,3183.557122322293,3112.9919172859086,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,194054,
2015-01-12,MARUTI,4512940556288.0,3142.89697265625,3161.729487029096,3126.7872314457427,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,152803,
2015-01-13,MARUTI,4512940556288.0,3147.75244140625,3190.182320058522,3142.170845466814,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,237771,
2015-01-14,MARUTI,4512940556288.0,3191.090087890625,3204.7039534532983,3141.4449024547116,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,429069,
2015-01-15,MARUTI,4512940556288.0,3290.743896484375,3302.406309319558,3212.872534799533,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,670686,
2015-01-16,MARUTI,4512940556288.0,3282.393798828125,3290.017474827513,3260.1123947860838,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,379075,
2015-01-19,MARUTI,4512940556288.0,3291.15234375,3305.9006996509825,3281.1234174213587,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,192537,
2015-01-20,MARUTI,4512940556288.0,3272.36474609375,3300.000847489016,3253.259911392843,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,333315,
2015-01-21,MARUTI,4512940556288.0,3298.821533203125,3349.0113684885896,3260.0674351249363,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,402419,
2015-01-22,MARUTI,4512940556288.0,3264.832275390625,3310.8925264090626,3260.1582695842494,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,318883,
2015-01-23,MARUTI,4512940556288.0,3273.408935546875,3303.4048671793616,3244.6383405910346,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,337571,
2015-01-27,MARUTI,4512940556288.0,3347.104736328125,3362.3523093350345,3253.849761745125,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,1278436,
2015-01-28,MARUTI,4512940556288.0,3381.5029296875,3411.181114034272,3350.826306509121,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,672705,
2015-01-29,MARUTI,4512940556288.0,3347.921630859375,3398.9281993073814,3337.2120130449243,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,603103,
2015-01-30,MARUTI,4512940556288.0,3310.302490234375,3395.298308194908,3291.4245510211954,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,284786,
2015-02-02,MARUTI,4512940556288.0,3330.360107421875,3380.7768371890825,3285.4797719797257,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,319679,
2015-02-03,MARUTI,4512940556288.0,3274.45263671875,3365.3477966949513,3267.327957956263,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,220676,
2015-02-04,MARUTI,4512940556288.0,3228.800537109375,3298.185827553018,3222.4019759843122,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,203545,
2015-02-05,MARUTI,4512940556288.0,3197.171142578125,3264.60520602324,3183.829597645128,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,379633,
2015-02-06,MARUTI,4512940556288.0,3178.9287109375,3206.973187608257,3167.4929743180464,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,198214,
2015-02-09,MARUTI,4512940556288.0,3096.0654296875,3174.027413169832,3085.8096063856015,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,286868,
2015-02-10,MARUTI,4512940556288.0,3080.228271484375,3156.60197709408,3049.5062228395946,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,547537,
2015-02-11,MARUTI,4512940556288.0,3135.5,3150.066879832285,3091.254938852305,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,341769,
2015-02-12,MARUTI,4512940556288.0,3223.672607421875,3230.7972858970033,3147.5258058826626,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,436882,
2015-02-13,MARUTI,4512940556288.0,3282.71142578125,3291.8327602102922,3204.976340464468,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,321186,
2015-02-16,MARUTI,4512940556288.0,3242.00634765625,3312.707607692593,3232.385793095115,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,260901,
2015-02-18,MARUTI,4512940556288.0,3235.517333984375,3252.806991354287,3219.271539484289,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,161803,
2015-02-19,MARUTI,4512940556288.0,3262.926025390625,3280.9417971966627,3232.9755193581245,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,214789,
2015-02-20,MARUTI,4512940556288.0,3219.543212890625,3280.034067986213,3214.687512121518,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,240749,
2015-02-23,MARUTI,4512940556288.0,3218.22705078125,3244.638039257213,3206.3831647130155,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,163132,
2015-02-24,MARUTI,4512940556288.0,3256.708984375,3267.327755263638,3224.852450129242,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,143983,
2015-02-25,MARUTI,4512940556288.0,3249.085205078125,3280.9417404848987,3234.745443337951,31.024271,3061.094,0.95,,,,462.67,,0.09,,,,,4.689173,,,,,Consumer Cyclical,173339,
