Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,NTPC.NS,NTPC.NS,NTPC.NS,,,,,,,,,,,,,,,,,,,,NTPC.NS,
2015-01-01,NTPC,3269714509824.0,81.73543548583984,82.76824545932264,81.53460782223384,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,1478980,
2015-01-02,NTPC,3269714509824.0,82.85431671142578,83.19858671818635,81.76412660563615,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,2383093,
2015-01-05,NTPC,3269714509824.0,82.62480163574219,83.14120664596558,82.07970920933197,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,2197057,
2015-01-06,NTPC,3269714509824.0,79.8706283569336,82.91167782924633,79.32553602077502,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,5923512,
2015-01-07,NTPC,3269714509824.0,81.79280090332031,82.05100336697843,79.95669624613228,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,5848555,
2015-01-08,NTPC,3269714509824.0,83.1698989868164,83.37072667144587,82.16578157624397,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,7564225,
2015-01-09,NTPC,3269714509824.0,80.47309112548828,83.48545282537287,80.04275373979048,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,3778993,
2015-01-12,NTPC,3269714509824.0,80.32965087890625,81.13295090730072,79.46897602929961,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,3190536,
2015-01-13,NTPC,3269714509824.0,79.72718048095703,80.53048052947022,79.23946822272671,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,4515434,
2015-01-14,NTPC,3269714509824.0,79.03863525390625,80.47309502682212,78.72305799118996,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,2736211,
2015-01-15,NTPC,3269714509824.0,79.8706283569336,80.64523574401592,79.41160350822861,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,7016253,
2015-01-16,NTPC,3269714509824.0,80.5591812133789,81.36247614109699,79.38292361128106,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6225934,
2015-01-19,NTPC,3269714509824.0,81.33378601074219,81.99363858304109,80.24359594632294,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,5186906,
2015-01-20,NTPC,3269714509824.0,81.96492767333984,82.33789025226935,81.53459027699199,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6449028,
2015-01-21,NTPC,3269714509824.0,82.33790588378906,82.71086328038098,81.64936591891596,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6947634,
2015-01-22,NTPC,3269714509824.0,80.44441223144531,82.45265182619949,79.95669472498885,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6729064,
2015-01-23,NTPC,3269714509824.0,81.41985321044922,81.5919882066658,80.58786564435461,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,9045246,
2015-01-27,NTPC,3269714509824.0,82.13709259033203,82.45267521380586,80.731325000574,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,17981989,
2015-01-28,NTPC,3269714509824.0,81.96492767333984,83.16987238311383,81.21901302176494,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6764469,
2015-01-29,NTPC,3269714509824.0,81.39116668701172,81.87887901287229,80.96082919175636,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,17553748,
2015-01-30,NTPC,3269714509824.0,82.4239730834961,84.57566046599996,81.53460546329914,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,22309884,
2015-02-02,NTPC,3269714509824.0,81.50591278076172,82.88299261655072,81.21902289935325,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,10364854,
2015-02-03,NTPC,3269714509824.0,82.62480163574219,83.0838265604485,81.56330419910859,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,7781553,
2015-02-04,NTPC,3269714509824.0,82.365234375,83.11505969745271,81.93264385832458,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,4036543,
2015-02-05,NTPC,3269714509824.0,80.83673858642578,82.5382628869377,80.20227431466589,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,6143088,
2015-02-06,NTPC,3269714509824.0,80.75022888183594,81.18281940313264,79.7696921271121,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,5976495,
2015-02-09,NTPC,3269714509824.0,80.0580825805664,80.9809441026351,79.65433495518616,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,3114468,
2015-02-10,NTPC,3269714509824.0,79.10638427734375,80.92326445246815,78.87567285490145,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,4506774,
2015-02-11,NTPC,3269714509824.0,80.83673858642578,81.32700955316713,78.90450288562597,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,3522442,
2015-02-12,NTPC,3269714509824.0,81.96149444580078,82.27872930181728,80.77908370006496,18.49424,189.846,3.42,,,,18.23,,130.856,,,,,1.7759131,,,,,Utilities,5162803,
