Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,RELIANCE.NS,
2015-01-01,RELIANCE,19122775654400.0,189.9998321533203,190.8771860012296,189.0903810391093,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,2963643,
2015-01-02,RELIANCE,19122775654400.0,189.49693298339844,191.74381271840838,189.22945580333513,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,7331366,
2015-01-05,RELIANCE,19122775654400.0,187.4212188720703,190.6417435263048,187.04673660353274,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,10103941,
2015-01-06,RELIANCE,19122775654400.0,178.91525268554688,186.81140833967845,178.03789888297737,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,18627980,
2015-01-07,RELIANCE,19122775654400.0,182.809814453125,183.77276085280215,179.10783035701846,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,20720312,
2015-01-08,RELIANCE,19122775654400.0,180.18846130371094,184.65010901239097,179.7818817251331,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,19872227,
2015-01-09,RELIANCE,19122775654400.0,184.09373474121094,184.45751798649138,180.8197283871731,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,13392787,
2015-01-12,RELIANCE,19122775654400.0,181.95384216308594,184.2435179942845,180.09215834175927,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,10100113,
2015-01-13,RELIANCE,19122775654400.0,180.42385864257812,182.94891476700133,179.85679270891694,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,9948711,
2015-01-14,RELIANCE,19122775654400.0,178.669189453125,181.2477413632399,177.86672919710873,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,11380041,
2015-01-15,RELIANCE,19122775654400.0,184.93899536132812,186.4048131781008,179.74979516459382,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,16927085,
2015-01-16,RELIANCE,19122775654400.0,186.10523986816406,187.2393717003376,182.32834774405396,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,19136963,
2015-01-19,RELIANCE,19122775654400.0,188.2344207763672,189.59323348253545,183.76207355968455,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,13339962,
2015-01-20,RELIANCE,19122775654400.0,193.2417449951172,193.77671368739692,188.0632291983135,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,13361320,
2015-01-21,RELIANCE,19122775654400.0,194.03346252441406,195.0285061417366,190.88784537432815,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,17084297,
2015-01-22,RELIANCE,19122775654400.0,189.11180114746094,194.1298168271671,188.2023499964783,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,23721627,
2015-01-23,RELIANCE,19122775654400.0,189.78582763671875,192.11828584647952,187.66735117666227,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,18080494,
2015-01-27,RELIANCE,19122775654400.0,190.2458953857422,191.88289856167683,188.41629435796523,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,17939876,
2015-01-28,RELIANCE,19122775654400.0,194.05487060546875,194.6861453126213,189.6146209037031,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,19298126,
2015-01-29,RELIANCE,19122775654400.0,198.8803253173828,199.97166089874776,194.0655927119526,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,36117653,
2015-01-30,RELIANCE,19122775654400.0,195.85240173339844,199.2762100711448,194.51497280714662,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,21746801,
2015-02-02,RELIANCE,19122775654400.0,194.3116455078125,196.8474003420121,193.80877417542277,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,19302710,
2015-02-03,RELIANCE,19122775654400.0,200.63504028320312,201.3304953363109,195.41372784477915,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,17092333,
2015-02-04,RELIANCE,19122775654400.0,198.7519073486328,201.96171909572098,198.131346029715,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,14072894,
2015-02-05,RELIANCE,19122775654400.0,197.6605987548828,201.12718905570785,196.35526713457438,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,12365643,
2015-02-06,RELIANCE,19122775654400.0,194.70755004882812,199.00869747891824,193.23103312750717,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,9045844,
2015-02-09,RELIANCE,19122775654400.0,191.8828887939453,196.4408282162597,190.87714609111782,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,8839692,
2015-02-10,RELIANCE,19122775654400.0,188.7373046875,193.5520230294048,184.30775352810963,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,13651008,
2015-02-11,RELIANCE,19122775654400.0,192.73886108398438,193.60551573745482,188.95126984622166,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,9781008,
2015-02-12,RELIANCE,19122775654400.0,194.54705810546875,195.57419911515908,189.86072903431875,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,8709626,
2015-02-13,RELIANCE,19122775654400.0,196.33387756347656,197.04003170359636,194.52567443154445,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,7393680,
2015-02-16,RELIANCE,19122775654400.0,193.1882781982422,197.76761716831098,192.58910060369195,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,12266698,
2015-02-18,RELIANCE,19122775654400.0,192.94216918945312,194.30099632989493,191.39075844928635,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,9835036,
2015-02-19,RELIANCE,19122775654400.0,193.0277557373047,194.21539741784883,189.92493435604038,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,9550637,
2015-02-20,RELIANCE,19122775654400.0,186.83277893066406,191.7331034542777,186.44759752732216,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,18717199,
2015-02-23,RELIANCE,19122775654400.0,182.19993591308594,187.61383058417115,181.26908685768754,23.446157,623.048,0.39,,,,60.27,,36.605,,,,,2.2680435,,,,,Energy,14104463,
