Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,,,,,,,,,,,,,,,,,,,,SHRIRAMFIN.NS,
2015-01-01,SHRIRAMFIN,1157894373376.0,186.47705078125,188.78611903502716,185.40286593516848,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,230491,
2015-01-02,SHRIRAMFIN,1157894373376.0,187.11138916015625,189.12442588264332,185.57201047457932,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,1170068,
2015-01-05,SHRIRAMFIN,1157894373376.0,181.27525329589844,190.25781432007156,180.09111485899584,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,2785715,
2015-01-06,SHRIRAMFIN,1157894373376.0,176.85166931152344,183.60975171565292,175.126212736719,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,2699693,
2015-01-07,SHRIRAMFIN,1157894373376.0,175.92970275878906,177.47754555816633,173.15542750214135,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,3076271,
2015-01-08,SHRIRAMFIN,1157894373376.0,178.19650268554688,180.1165140270407,175.66751374163857,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,2178650,
2015-01-09,SHRIRAMFIN,1157894373376.0,179.49900817871094,181.68122035079756,177.4013839319337,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,1674675,
2015-01-12,SHRIRAMFIN,1157894373376.0,176.073486328125,181.00458157146784,174.99083756117952,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,1716246,
2015-01-13,SHRIRAMFIN,1157894373376.0,175.8451385498047,178.17113493394177,174.62715686671353,12.054043,300.31,2.08,,0.18113,,51.07,,316.892,,,,,2.0498817,,,,,Financial Services,1377123,
