Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,,,,,,,,,,,,,,,,,,,,TATACONSUM.NS,
2015-01-01,TATACONSUM,1075920371712.0,132.65362548828125,133.57789034833476,132.34554615595962,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,535692,
2015-01-02,TATACONSUM,1075920371712.0,134.23809814453125,134.85427033495097,132.52161367423832,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2043127,
2015-01-05,TATACONSUM,1075920371712.0,134.63418579101562,135.99857548052717,133.4898585213755,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1873161,
2015-01-06,TATACONSUM,1075920371712.0,130.4089813232422,133.75393270644105,129.39669959022194,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2390258,
2015-01-07,TATACONSUM,1075920371712.0,130.67308044433594,131.3332677959559,128.51647111535326,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2770541,
2015-01-08,TATACONSUM,1075920371712.0,135.2943572998047,135.99855964771953,131.59731176268008,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2292977,
2015-01-09,TATACONSUM,1075920371712.0,136.96685791015625,138.81537421066938,134.9422809254133,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,4013444,
2015-01-12,TATACONSUM,1075920371712.0,138.50726318359375,139.69559194096902,136.61471871352435,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1647105,
2015-01-13,TATACONSUM,1075920371712.0,136.6587371826172,138.9913930243898,135.73447250570177,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1558189,
2015-01-14,TATACONSUM,1075920371712.0,136.306640625,138.19917167984627,135.3823759624889,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1383172,
2015-01-15,TATACONSUM,1075920371712.0,137.01083374023438,138.72733106606574,135.60244255354073,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1183917,
2015-01-16,TATACONSUM,1075920371712.0,135.82252502441406,137.0988843432268,135.33838502581781,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1299810,
2015-01-19,TATACONSUM,1075920371712.0,137.8031005859375,138.9034127697416,135.82253865509006,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1000172,
2015-01-20,TATACONSUM,1075920371712.0,137.62704467773438,138.59531127973278,136.96685740892187,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1211357,
2015-01-21,TATACONSUM,1075920371712.0,139.07943725585938,140.31178132728144,137.89109491934718,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2696995,
2015-01-22,TATACONSUM,1075920371712.0,139.82763671875,141.36807332470363,138.28720011279637,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2326838,
2015-01-23,TATACONSUM,1075920371712.0,141.8522186279297,142.73246823389027,138.11115780259723,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2437301,
2015-01-27,TATACONSUM,1075920371712.0,140.31178283691406,142.60043720165666,139.60759389226385,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1634586,
2015-01-28,TATACONSUM,1075920371712.0,139.73960876464844,140.7518903216655,138.77132893759963,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1819031,
2015-01-29,TATACONSUM,1075920371712.0,139.2994842529297,141.50010801679903,138.46324990896764,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2823390,
2015-01-30,TATACONSUM,1075920371712.0,139.6956024169922,142.95252310108205,135.60244733762207,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,4094370,
2015-02-02,TATACONSUM,1075920371712.0,144.00885009765625,147.66188082289267,138.8593842015578,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,5423705,
2015-02-03,TATACONSUM,1075920371712.0,141.2360382080078,144.80105158688082,140.13572626585827,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1927234,
2015-02-04,TATACONSUM,1075920371712.0,139.56356811523438,143.56870623327796,138.7713354654164,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1567779,
2015-02-05,TATACONSUM,1075920371712.0,136.2186279296875,140.66389117202147,135.11831591086934,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,2403931,
2015-02-06,TATACONSUM,1075920371712.0,134.1500244140625,136.17460104072106,133.40182036459746,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1392578,
2015-02-09,TATACONSUM,1075920371712.0,131.64134216308594,134.59017052841355,130.89312456341872,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1470539,
2015-02-10,TATACONSUM,1075920371712.0,133.40182495117188,134.81021620352175,130.27693629297116,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1719968,
2015-02-11,TATACONSUM,1075920371712.0,135.86654663085938,136.17462596707608,133.09375201564202,81.263084,202.133,0.76,,,,13.38,,11.186,,,,,5.379132,,,,,Consumer Defensive,1131718,
