Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,,,,,,,,,,,,,,,,,,,,TATAMOTORS.NS,
2015-01-01,TATAMOTORS,2504115093504.0,485.74090576171875,486.7154006923302,479.6989770750287,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,944551,
2015-01-02,TATAMOTORS,2504115093504.0,498.7505187988281,504.20775069716615,484.5714968828994,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,4193093,
2015-01-05,TATAMOTORS,2504115093504.0,510.4446105957031,512.5884997706193,493.7806245023111,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,6758676,
2015-01-06,TATAMOTORS,2504115093504.0,488.6156921386719,501.2354915691843,486.5204979953884,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,7979598,
2015-01-07,TATAMOTORS,2504115093504.0,481.2582092285156,487.6411812178342,476.72674758817453,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,9232656,
2015-01-08,TATAMOTORS,2504115093504.0,498.9454345703125,501.6740506112435,488.22589946378827,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,5535587,
2015-01-09,TATAMOTORS,2504115093504.0,508.9827880859375,511.5652296997431,502.3561624685019,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,4053562,
2015-01-12,TATAMOTORS,2504115093504.0,508.9827880859375,511.3215759096564,498.214528972217,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,2560568,
2015-01-13,TATAMOTORS,2504115093504.0,506.2054443359375,512.2960676474103,502.11253561145645,11.16281,315.493,0.88,,,,60.93,,61.549,,,,,2.1558323,,,,,Consumer Cyclical,4328812,
