Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,,,,,,,,,,,,,,,,,,,,TATASTEEL.NS,
2015-01-01,TATASTEEL,1994116038656.0,28.89802360534668,29.008771667856028,28.372865745076517,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,26570816,
2015-01-02,TATASTEEL,1994116038656.0,29.348154067993164,29.508917817176503,29.00876647377897,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,36043328,
2015-01-05,TATASTEEL,1994116038656.0,29.77328872680664,30.11267638308603,29.508923213592595,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,54638866,
2015-01-06,TATASTEEL,1994116038656.0,28.329994201660156,29.580369828049076,28.176376763657903,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,64767961,
2015-01-07,TATASTEEL,1994116038656.0,27.786972045898438,28.42288081505653,27.40828817646822,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,49846923,
2015-01-08,TATASTEEL,1994116038656.0,28.21924591064453,28.34428375831555,27.908437873384536,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,33271702,
2015-01-09,TATASTEEL,1994116038656.0,28.5550594329834,28.930172963646477,28.229961611905996,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,53120660,
2015-01-12,TATASTEEL,1994116038656.0,28.347854614257812,28.544341418535748,28.079915982373723,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,28244762,
2015-01-13,TATASTEEL,1994116038656.0,27.97274398803711,28.497901815358926,27.879856030400948,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,31517083,
2015-01-14,TATASTEEL,1994116038656.0,26.925996780395508,27.96916889612412,26.82953852631541,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,74832453,
2015-01-15,TATASTEEL,1994116038656.0,27.490455627441406,27.772681221827835,26.5866082215049,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,73591596,
2015-01-16,TATASTEEL,1994116038656.0,27.393997192382812,27.544041468021803,26.886699464691397,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,47636637,
2015-01-19,TATASTEEL,1994116038656.0,27.490455627441406,27.64407306795724,27.190364213437096,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,29282226,
2015-01-20,TATASTEEL,1994116038656.0,28.72296905517578,28.8372902779357,27.551185819551176,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,63164170,
2015-01-21,TATASTEEL,1994116038656.0,28.37286376953125,29.00876964803392,28.115641742691658,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,40910854,
2015-01-22,TATASTEEL,1994116038656.0,28.822999954223633,28.91588505200681,28.29426895748557,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,47523195,
2015-01-23,TATASTEEL,1994116038656.0,28.80156135559082,29.43747005125033,28.50861629244203,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,47511356,
2015-01-27,TATASTEEL,1994116038656.0,28.46575355529785,28.86587359538858,28.258547206298612,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,41693694,
2015-01-28,TATASTEEL,1994116038656.0,27.947734832763672,28.365717770401012,27.78697106412631,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,41936541,
2015-01-29,TATASTEEL,1994116038656.0,27.894147872924805,28.037045817076923,27.41542974714625,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,54190694,
2015-01-30,TATASTEEL,1994116038656.0,27.897716522216797,28.22281719314601,27.615490953631113,44.04683,73.032,2.23,,,,3.63,,103.775,,,,,2.1893144,,,,,Basic Materials,37794421,
