Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TCS.NS,TCS.NS,TCS.NS,,,,,,,,,,,,,,,,,,,,TCS.NS,
2015-01-01,TCS,11108983242752.0,1073.5101318359375,1082.5560116924323,1071.5912838763034,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,366830,
2015-01-02,TCS,11108983242752.0,1087.8065185546875,1092.6563025009493,1075.6399484301587,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,925740,
2015-01-05,TCS,11108983242752.0,1071.275634765625,1096.4312245686003,1064.6967529551318,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1754242,
2015-01-06,TCS,11108983242752.0,1031.7811279296875,1066.5730594495722,1028.9977322244656,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2423784,
2015-01-07,TCS,11108983242752.0,1019.5930786132812,1045.5077686746345,1015.2704458354957,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2636332,
2015-01-08,TCS,11108983242752.0,1030.6002197265625,1032.7931449713556,1020.7952215148092,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1565408,
2015-01-09,TCS,11108983242752.0,1059.4884033203125,1062.693417255847,1033.2151963080862,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3197642,
2015-01-12,TCS,11108983242752.0,1058.3914794921875,1066.1089820346465,1045.9718365076867,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1596006,
2015-01-13,TCS,11108983242752.0,1053.415283203125,1067.1211953863867,1045.9087428977068,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1468432,
2015-01-14,TCS,11108983242752.0,1063.557861328125,1067.7118489170882,1054.51197832662,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1787096,
2015-01-15,TCS,11108983242752.0,1070.790283203125,1088.776616649138,1064.1059738394258,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,5009920,
2015-01-16,TCS,11108983242752.0,1067.8594970703125,1073.278646547919,1047.6802334087147,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,5293830,
2015-01-19,TCS,11108983242752.0,1058.9398193359375,1075.8086336622766,1055.5660564706698,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,1135074,
2015-01-20,TCS,11108983242752.0,1054.4906005859375,1066.9524571895897,1047.237031350217,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2058566,
2015-01-21,TCS,11108983242752.0,1060.12060546875,1063.5786916459679,1049.3456302490404,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2310480,
2015-01-22,TCS,11108983242752.0,1060.0152587890625,1063.262485052937,1052.4031855030657,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2113214,
2015-01-23,TCS,11108983242752.0,1055.819091796875,1067.81701496203,1052.6561892247391,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3150380,
2015-01-27,TCS,11108983242752.0,1057.27685546875,1062.7490416306082,1051.994802577942,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2738736,
2015-01-28,TCS,11108983242752.0,1073.1444091796875,1075.3839175870874,1057.6362158024076,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3121980,
2015-01-29,TCS,11108983242752.0,1075.2781982421875,1085.4408902289022,1061.861781798124,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3734392,
2015-01-30,TCS,11108983242752.0,1048.8255615234375,1088.1028858374439,1043.7336419489268,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,5817402,
2015-02-02,TCS,11108983242752.0,1062.410888671875,1065.4744791151415,1040.3742069563455,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3181802,
2015-02-03,TCS,11108983242752.0,1081.0252685546875,1083.877577970399,1059.4111429150125,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2345054,
2015-02-04,TCS,11108983242752.0,1062.453369140625,1086.7085170740963,1057.2981056580702,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2245418,
2015-02-05,TCS,11108983242752.0,1078.5528564453125,1095.1596506561618,1064.4392529912584,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,4530168,
2015-02-06,TCS,11108983242752.0,1088.419921875,1096.4697918768336,1077.8981127849565,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2136416,
2015-02-09,TCS,11108983242752.0,1061.86181640625,1085.610013229075,1056.4107780575193,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2076432,
2015-02-10,TCS,11108983242752.0,1031.542724609375,1067.5029851884449,1028.0988670810434,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3799054,
2015-02-11,TCS,11108983242752.0,1039.466064453125,1051.02324137161,1034.1206663771927,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2937522,
2015-02-12,TCS,11108983242752.0,1040.416748046875,1047.8750705439513,1034.0149395644964,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,3107980,
2015-02-13,TCS,11108983242752.0,1072.78515625,1076.5882350904726,1039.613857474766,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,4158326,
2015-02-16,TCS,11108983242752.0,1092.244140625,1096.554275525838,1079.651704804823,22.543318,270.613,1.97,,0.51589,,136.2,,9.714,,,,,11.346091,,,,,Technology,2364392,
