Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,ULTRACEMCO.NS,
2015-01-01,ULTRACEMCO,3718682247168.0,2548.0283203125,2563.7231243020715,2537.214106440208,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,54097,
2015-01-02,ULTRACEMCO,3718682247168.0,2624.206298828125,2634.1590679706496,2552.574304830051,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,228660,
2015-01-05,ULTRACEMCO,3718682247168.0,2629.565673828125,2656.074696670016,2608.7986877163507,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,181680,
2015-01-06,ULTRACEMCO,3718682247168.0,2555.7802734375,2621.2393892626765,2537.02286270002,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,292468,
2015-01-07,ULTRACEMCO,3718682247168.0,2545.68408203125,2577.1694887564972,2499.9391444592366,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,120023,
2015-01-08,ULTRACEMCO,3718682247168.0,2610.186279296875,2614.827852408108,2545.9234121896443,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,249884,
2015-01-09,ULTRACEMCO,3718682247168.0,2612.0048828125,2641.3370284571165,2594.4437261403054,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,334880,
2015-01-12,ULTRACEMCO,3718682247168.0,2584.203369140625,2617.4114308766866,2574.3461605331945,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,148064,
2015-01-13,ULTRACEMCO,3718682247168.0,2697.3212890625,2728.663234145628,2598.319069566891,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,517233,
2015-01-14,ULTRACEMCO,3718682247168.0,2783.78662109375,2793.3087827806376,2707.369608842895,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,537834,
2015-01-15,ULTRACEMCO,3718682247168.0,2950.497802734375,2968.920170780014,2773.786480229632,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,699207,
2015-01-16,ULTRACEMCO,3718682247168.0,2938.104248046875,3004.950977733761,2914.8010582196766,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,369250,
2015-01-19,ULTRACEMCO,3718682247168.0,2955.712646484375,3004.950552050091,2934.6585172233563,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,147140,
2015-01-20,ULTRACEMCO,3718682247168.0,2963.3212890625,2993.4669791519336,2952.4115137258495,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,303336,
2015-01-21,ULTRACEMCO,3718682247168.0,2923.462646484375,2981.9355863179067,2910.543062519238,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,295819,
2015-01-22,ULTRACEMCO,3718682247168.0,2988.203125,3009.065901041905,2927.4811453565035,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,368715,
2015-01-23,ULTRACEMCO,3718682247168.0,3012.55908203125,3048.781852445649,2995.4287681565975,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,414381,
2015-01-27,ULTRACEMCO,3718682247168.0,2987.24609375,3062.323161734089,2971.9339989710797,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,426957,
2015-01-28,ULTRACEMCO,3718682247168.0,3004.760009765625,3052.8016709722297,2990.6441692865924,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,241081,
2015-01-29,ULTRACEMCO,3718682247168.0,3026.77099609375,3038.4943206379435,2979.2557374191947,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,353459,
2015-01-30,ULTRACEMCO,3718682247168.0,3005.334228515625,3048.064457834229,2963.8479202237386,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,170802,
2015-02-02,ULTRACEMCO,3718682247168.0,2954.325439453125,3032.8954924098825,2908.3412541064113,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,258417,
2015-02-03,ULTRACEMCO,3718682247168.0,2973.9443359375,3050.93542951756,2928.4386494114597,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,407784,
2015-02-04,ULTRACEMCO,3718682247168.0,2963.752197265625,2991.983878164697,2936.1906075743336,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,220090,
2015-02-05,ULTRACEMCO,3718682247168.0,2932.362548828125,2976.193242254882,2910.2556139752874,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,130329,
2015-02-06,ULTRACEMCO,3718682247168.0,2879.00927734375,2918.868486330609,2866.233152970549,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,129840,
2015-02-09,ULTRACEMCO,3718682247168.0,2835.3701171875,2861.4485361203697,2814.555232351173,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,127620,
2015-02-10,ULTRACEMCO,3718682247168.0,2838.67138671875,2895.8524999776305,2814.6506743060595,54.876938,2403.764,0.6,,,,230.37,,32.618,,,,,5.259252,,,,,Basic Materials,187835,
