Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,WIPRO.NS,WIPRO.NS,WIPRO.NS,,,,,,,,,,,,,,,,,,,,WIPRO.NS,
2015-01-01,WIPRO,2614898458624.0,93.5082015991211,93.84675401332385,93.18657267290857,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,1082549,
2015-01-02,WIPRO,2614898458624.0,94.3376693725586,94.83703289652385,93.60978017240305,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,4198953,
2015-01-05,WIPRO,2614898458624.0,94.50694274902344,95.64109213043717,94.03296791993287,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,3838601,
2015-01-06,WIPRO,2614898458624.0,92.2978744506836,94.18530833072313,91.76465714268616,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,12396695,
2015-01-07,WIPRO,2614898458624.0,91.59537506103516,92.25554948460783,91.12986551193832,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,8305581,
2015-01-08,WIPRO,2614898458624.0,92.25554656982422,94.60848980363839,91.95084804246899,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,7792131,
2015-01-09,WIPRO,2614898458624.0,93.69440460205078,94.79469998705517,91.9593234180054,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,13587116,
2015-01-12,WIPRO,2614898458624.0,94.12605285644531,94.625416267839,92.71259383422297,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,4421790,
2015-01-13,WIPRO,2614898458624.0,95.38715362548828,95.92884294319538,93.9483060120436,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,6312675,
2015-01-14,WIPRO,2614898458624.0,93.43202209472656,96.40282091643917,93.1019348673955,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,9723858,
2015-01-15,WIPRO,2614898458624.0,94.71005249023438,95.47179537355852,93.31352387080676,19.475819,82.987,4.4,,0.16362,,12.82,,18.233,,,,,3.008664,,,,,Technology,6993422,
