Date,News Title,News Description,Source,Sentiment,URL,Type
2025-08-22,"Sensex falls points, Nifty currency movements as positive","On 2025-08-22, Indian stock markets showed positive movement. Sensex falls points, Nifty currency movements as positive. The BSE Sensex showed falls of 100 points. This was primarily driven by currency movements.",Bloomberg,Positive,https://example.com/news/20250822/3,Synthetic Historical
2025-08-22,Market surges: global markets sector shows steady performance,"On 2025-08-22, Indian stock markets showed steady movement. Market surges: global markets sector shows steady performance. The NSE Nifty showed surges of 50 points. This was primarily driven by global markets.",ET Now,Positive,https://example.com/news/20250822/2,Synthetic Historical
2025-08-22,"BSE, NSE falls: 600 influences trading","On 2025-08-22, Indian stock markets showed volatile movement. BSE, NSE falls: 600 influences trading. The BSE Sensex showed falls of 600 points. This was primarily driven by budget announcements.",Bloomberg,Positive,https://example.com/news/20250822/1,Synthetic Historical
2025-08-22,"Sensex dips points, Nifty political developments as volatile","On 2025-08-22, Indian stock markets showed volatile movement. Sensex dips points, Nifty political developments as volatile. The NSE Nifty showed dips of 500 points. This was primarily driven by political developments.",Business Standard,Neutral,https://example.com/news/20250822/0,Synthetic Historical
2025-08-21,Global cues lead to jumps in Indian markets: 400,"On 2025-08-21, Indian stock markets showed steady movement. Global cues lead to jumps in Indian markets: 400. The BSE Sensex showed jumps of 400 points. This was primarily driven by earnings reports.",Economic Times,Positive,https://example.com/news/20250821/2,Synthetic Historical
2025-08-21,Indian shares falls amid 600 developments,"On 2025-08-21, Indian stock markets showed mixed movement. Indian shares falls amid 600 developments. The NSE Nifty showed falls of 600 points. This was primarily driven by corporate announcements.",MoneyControl,Positive,https://example.com/news/20250821/1,Synthetic Historical
2025-08-21,"RBI policy decision: plunges rates, markets 400","On 2025-08-21, Indian stock markets showed volatile movement. RBI policy decision: plunges rates, markets 400. The NSE Nifty showed plunges of 400 points. This was primarily driven by political developments.",ET Now,Positive,https://example.com/news/20250821/0,Synthetic Historical
2025-08-20,"RBI policy decision: jumps rates, markets 50","On 2025-08-20, Indian stock markets showed positive movement. RBI policy decision: jumps rates, markets 50. The NSE Nifty showed jumps of 50 points. This was primarily driven by foreign investments.",Business Standard,Positive,https://example.com/news/20250820/0,Synthetic Historical
2025-08-20,Rupee dips against dollar as markets 800,"On 2025-08-20, Indian stock markets showed mixed movement. Rupee dips against dollar as markets 800. The NSE Nifty showed dips of 800 points. This was primarily driven by regulatory changes.",Live Mint,Positive,https://example.com/news/20250820/1,Synthetic Historical
2025-08-20,"BSE, NSE falls: 400 influences trading","On 2025-08-20, Indian stock markets showed volatile movement. BSE, NSE falls: 400 influences trading. The BSE Sensex showed falls of 400 points. This was primarily driven by economic data.",Financial Express,Positive,https://example.com/news/20250820/2,Synthetic Historical
