Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,,,,,,,,,,,,,,,,,,,,ADANIENT.NS,
2015-01-01,ADANIENT,2690375745536.0,70.62761688232422,70.99517112126851,69.27272428408733,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,3946806,
2015-01-02,ADANIENT,2690375745536.0,70.97357940673828,71.63661219139453,70.62764208362955,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6565229,
2015-01-05,ADANIENT,2690375745536.0,72.14830017089844,73.0131254948118,70.72854167684463,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,9404837,
2015-01-06,ADANIENT,2690375745536.0,71.6005630493164,74.64908276966484,69.79163334246087,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,18412441,
2015-01-07,ADANIENT,2690375745536.0,70.96635437011719,73.15725203546485,69.47452732365514,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,10863352,
2015-01-08,ADANIENT,2690375745536.0,73.76264953613281,74.08695545227737,71.8960574099973,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,7942903,
2015-01-09,ADANIENT,2690375745536.0,73.02754211425781,75.05988887975234,71.78074863608903,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,12083224,
2015-01-12,ADANIENT,2690375745536.0,74.16622924804688,75.29771257534433,73.51039982418959,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,12302379,
2015-01-13,ADANIENT,2690375745536.0,71.59336853027344,74.77881571600005,71.34112421811376,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,7711411,
2015-01-14,ADANIENT,2690375745536.0,70.82223510742188,71.88164983031497,70.05109552346666,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6088603,
2015-01-15,ADANIENT,2690375745536.0,72.19874572753906,72.76809266096421,70.05108896881445,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,8490702,
2015-01-16,ADANIENT,2690375745536.0,72.11226654052734,73.00592660368103,70.97357979542515,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,7528008,
2015-01-19,ADANIENT,2690375745536.0,72.97710418701172,73.79868835160715,72.09065452738858,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,7947209,
2015-01-20,ADANIENT,2690375745536.0,73.00592041015625,73.51040183670717,72.4509872536543,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6590817,
2015-01-21,ADANIENT,2690375745536.0,72.9554672241211,73.3518490672244,72.03298691969647,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6416875,
2015-01-22,ADANIENT,2690375745536.0,74.75,75.24007494594579,73.00593528430441,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,8134532,
2015-01-23,ADANIENT,2690375745536.0,81.2722396850586,82.79289453516814,75.57158123253328,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,45485926,
2015-01-27,ADANIENT,2690375745536.0,80.90467834472656,82.54785356688065,79.89571550850407,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,12114821,
2015-01-28,ADANIENT,2690375745536.0,80.31371307373047,83.6505080175429,79.42006029066633,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,13903344,
2015-01-29,ADANIENT,2690375745536.0,84.09013366699219,85.87023599707005,80.31371550721038,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,37824705,
2015-01-30,ADANIENT,2690375745536.0,90.41780090332031,93.11318047995694,81.30827831141089,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,65285063,
2015-02-02,ADANIENT,2690375745536.0,94.38159942626953,95.5058724214481,92.11863250497143,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,41701833,
2015-02-03,ADANIENT,2690375745536.0,92.47895812988281,94.47526657675297,91.3979194428867,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,11937206,
2015-02-04,ADANIENT,2690375745536.0,93.4447021484375,95.76533137053428,91.21777310856488,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,20534456,
2015-02-05,ADANIENT,2690375745536.0,89.7763900756836,94.0500869474795,89.2791118736542,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,15521514,
2015-02-06,ADANIENT,2690375745536.0,90.42499542236328,92.81048259743595,89.80520396757804,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,13093343,
2015-02-09,ADANIENT,2690375745536.0,87.80890655517578,91.4555941501949,87.20352160327914,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,9986256,
2015-02-10,ADANIENT,2690375745536.0,91.52044677734375,92.16186244328765,86.49002490641867,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,16479576,
2015-02-11,ADANIENT,2690375745536.0,95.34732818603516,96.11126450385655,91.81595044368848,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,19163587,
2015-02-12,ADANIENT,2690375745536.0,98.640869140625,99.02283724773334,95.70765914168771,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,19540915,
2015-02-13,ADANIENT,2690375745536.0,96.84635162353516,99.41200723441679,96.25538765787293,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,11217343,
2015-02-16,ADANIENT,2690375745536.0,95.56352233886719,98.74897667079216,94.77076578207651,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,11523388,
2015-02-18,ADANIENT,2690375745536.0,95.95989990234375,97.29317582083057,95.3473117304466,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6802972,
2015-02-19,ADANIENT,2690375745536.0,99.77955627441406,101.09120793332336,95.8806249220326,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,16545483,
2015-02-20,ADANIENT,2690375745536.0,99.08049774169922,102.00649743720793,98.01387260381709,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,13753196,
2015-02-23,ADANIENT,2690375745536.0,97.99226379394531,99.88767648884806,97.16346915199208,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,6944254,
2015-02-24,ADANIENT,2690375745536.0,102.65511322021484,103.0154570901433,97.94900434246982,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,18937816,
2015-02-25,ADANIENT,2690375745536.0,100.30567169189453,103.70012196834683,100.03180315519306,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,13553581,
2015-02-26,ADANIENT,2690375745536.0,99.17418670654297,101.4731843238063,98.15801334424567,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,15476196,
2015-02-27,ADANIENT,2690375745536.0,102.53260040283203,102.81367222974082,99.15256388765305,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,12843035,
2015-03-02,ADANIENT,2690375745536.0,102.3235855102539,103.20282445535507,99.45523427459446,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,8781363,
2015-03-03,ADANIENT,2690375745536.0,104.03884887695312,104.86044019498574,101.92001943769972,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,10908493,
2015-03-04,ADANIENT,2690375745536.0,101.51641845703125,105.02617847884488,100.89662700661309,42.808598,413.193,0.05,,0.14343001,,54.44,,162.597,,,,,5.6402216,,,,,Energy,9656926,
