Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,,,,,,,,,,,,,,,,,,,,ADANIPORTS.NS,
2015-01-01,ADANIPORTS,2905388351488.0,301.7729187011719,304.5588170830447,298.65651442639654,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,1456204,
2015-01-02,ADANIPORTS,2905388351488.0,301.5840148925781,307.67517298467584,300.3563188411132,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2894058,
2015-01-05,ADANIPORTS,2905388351488.0,305.7864685058594,309.2806430236795,301.5840465261413,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2099786,
2015-01-06,ADANIPORTS,2905388351488.0,303.9449462890625,313.01088782758546,298.04264435250246,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,3672197,
2015-01-07,ADANIPORTS,2905388351488.0,303.23663330078125,310.41383734964234,299.74245944993976,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2981544,
2015-01-08,ADANIPORTS,2905388351488.0,315.9383544921875,318.53536691650476,305.55030479491865,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2932673,
2015-01-09,ADANIPORTS,2905388351488.0,312.72760009765625,324.01281437373075,309.13901158852593,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,3543488,
2015-01-12,ADANIPORTS,2905388351488.0,310.17779541015625,317.0716728222139,307.43910414525067,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2990475,
2015-01-13,ADANIPORTS,2905388351488.0,305.0309753417969,312.869221074968,302.9061465661961,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2688701,
2015-01-14,ADANIPORTS,2905388351488.0,312.82196044921875,315.3245303688465,304.7003883158542,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2272652,
2015-01-15,ADANIPORTS,2905388351488.0,312.2081604003906,318.535410610197,308.10015260173424,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,2140699,
2015-01-16,ADANIPORTS,2905388351488.0,312.4442443847656,315.9856253574965,307.864052562734,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,1970666,
2015-01-19,ADANIPORTS,2905388351488.0,310.08331298828125,316.17447075834946,308.43066859162354,25.721935,288.263,0.51,,,,52.29,,79.193,,,,,4.665878,,,,,Industrials,1362398,
