Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,ASIANPAINT.NS,
2015-01-01,ASIANPAINT,2409105195008.0,687.2019653320312,692.1095454125501,685.2297288577533,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,284935,
2015-01-02,ASIANPAINT,2409105195008.0,710.9603881835938,716.8311886654612,689.1284433715725,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,2080850,
2015-01-05,ASIANPAINT,2409105195008.0,710.9144897460938,722.7477984867845,708.804690199951,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1326999,
2015-01-06,ASIANPAINT,2409105195008.0,693.9442749023438,718.2529639769136,688.348712265324,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1510720,
2015-01-07,ASIANPAINT,2409105195008.0,707.8872680664062,713.987338475337,696.4667614067998,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1427667,
2015-01-08,ASIANPAINT,2409105195008.0,752.5142822265625,754.8534645519701,713.7579838535864,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,2769416,
2015-01-09,ASIANPAINT,2409105195008.0,745.3136596679688,760.449260141226,737.5623864098009,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1708427,
2015-01-12,ASIANPAINT,2409105195008.0,740.9564819335938,750.7258469875717,734.030808898967,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1320557,
2015-01-13,ASIANPAINT,2409105195008.0,764.89794921875,772.7868387879538,744.9464820692577,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,3835281,
2015-01-14,ASIANPAINT,2409105195008.0,772.9703979492188,779.7125962391074,761.5498904890388,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,2320114,
2015-01-15,ASIANPAINT,2409105195008.0,769.943359375,779.7127235416752,764.1184690708418,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1308063,
2015-01-16,ASIANPAINT,2409105195008.0,773.7042236328125,787.9683662123795,770.5394966454002,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1568660,
2015-01-19,ASIANPAINT,2409105195008.0,763.109375,777.8780274177632,760.9536652698397,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1041563,
2015-01-20,ASIANPAINT,2409105195008.0,769.8057250976562,776.960724110261,765.9530160945312,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1314139,
2015-01-21,ASIANPAINT,2409105195008.0,780.9051513671875,785.1248064187548,769.8057347079995,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1663391,
2015-01-22,ASIANPAINT,2409105195008.0,795.4444580078125,808.7454374420307,782.3268955684189,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1995155,
2015-01-23,ASIANPAINT,2409105195008.0,790.81201171875,807.1860098272482,788.977393845849,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1531430,
2015-01-27,ASIANPAINT,2409105195008.0,816.8637084960938,818.9735081121074,793.9309822609423,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1831293,
2015-01-28,ASIANPAINT,2409105195008.0,834.9804077148438,844.8414781712399,817.3680660276623,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,2895714,
2015-01-29,ASIANPAINT,2409105195008.0,808.4244995117188,846.217645670448,795.4904635828918,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,5326269,
2015-01-30,ASIANPAINT,2409105195008.0,786.8217163085938,815.0289652465002,783.47351639715,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,3291034,
2015-02-02,ASIANPAINT,2409105195008.0,741.2772827148438,780.7215645113212,737.0576842667359,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,4808585,
2015-02-03,ASIANPAINT,2409105195008.0,747.33154296875,758.1557763702475,735.681709194118,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,3048559,
2015-02-04,ASIANPAINT,2409105195008.0,737.3787841796875,755.1287461263731,734.5810030528014,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,912365,
2015-02-05,ASIANPAINT,2409105195008.0,743.7999267578125,758.064125472355,741.1856186910828,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1668101,
2015-02-06,ASIANPAINT,2409105195008.0,731.6914672851562,747.6067543224275,723.5732499183704,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1668283,
2015-02-09,ASIANPAINT,2409105195008.0,737.1954956054688,754.0280955376174,718.6199859526259,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1910672,
2015-02-10,ASIANPAINT,2409105195008.0,754.2114868164062,761.274777462171,733.709596643542,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,2235687,
2015-02-11,ASIANPAINT,2409105195008.0,771.2275390625,775.1261022989147,759.531849353256,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1227804,
2015-02-12,ASIANPAINT,2409105195008.0,755.633056640625,779.6207020175294,751.5968758851877,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1974102,
2015-02-13,ASIANPAINT,2409105195008.0,758.3853149414062,765.907260922843,747.6527870400483,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1323475,
2015-02-16,ASIANPAINT,2409105195008.0,765.1732788085938,772.8327861035212,750.3587169527364,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1584956,
2015-02-18,ASIANPAINT,2409105195008.0,753.1565551757812,772.3741902276398,751.918210401416,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1448399,
2015-02-19,ASIANPAINT,2409105195008.0,765.12744140625,768.7049690272734,757.6972606402479,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,1216904,
2015-02-20,ASIANPAINT,2409105195008.0,757.4219970703125,766.9619763793285,755.1287247381316,67.066986,202.25,0.97,,,,37.47,,11.418,,,,,12.425217,,,,,Basic Materials,699111,
