Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,,,,,,,,,,,,,,,,,,,,BAJAJFINSV.NS,
2015-01-01,BAJAJFINSV,3140142759936.0,127.90367126464844,131.4526770050283,127.24754745748922,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,293920,
2015-01-02,BAJAJFINSV,3140142759936.0,126.81513214111328,129.03699466071296,125.955211443281,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,435600,
2015-01-05,BAJAJFINSV,3140142759936.0,125.13008117675781,127.64519987903618,124.52366642959332,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,315660,
2015-01-06,BAJAJFINSV,3140142759936.0,122.23719024658203,124.57834993685714,120.84541849854551,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,377240,
2015-01-07,BAJAJFINSV,3140142759936.0,122.13280487060547,123.35557011482398,120.10976390048495,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,731140,
2015-01-08,BAJAJFINSV,3140142759936.0,128.22177124023438,129.02700713032195,122.271961763579,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,872680,
2015-01-09,BAJAJFINSV,3140142759936.0,127.16801452636719,129.17614411001816,126.80019444263765,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,327840,
2015-01-12,BAJAJFINSV,3140142759936.0,126.0247802734375,127.85894325437359,124.76224929506186,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,196780,
2015-01-13,BAJAJFINSV,3140142759936.0,127.8887710571289,130.0311017840197,126.25343685990512,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,580420,
2015-01-14,BAJAJFINSV,3140142759936.0,124.68272399902344,128.11244034071657,123.09213102294179,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,2587050,
2015-01-15,BAJAJFINSV,3140142759936.0,128.14723205566406,129.0369750546166,126.45225306052374,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,1368270,
2015-01-16,BAJAJFINSV,3140142759936.0,126.01982116699219,129.53404458409153,124.7622579781987,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,810480,
2015-01-19,BAJAJFINSV,3140142759936.0,125.05552673339844,127.86391726183746,124.3646125143842,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,325300,
2015-01-20,BAJAJFINSV,3140142759936.0,131.41787719726562,133.70931959390234,125.25928824410182,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,1360140,
2015-01-21,BAJAJFINSV,3140142759936.0,128.50509643554688,132.8543773666582,128.142236679851,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,1004960,
2015-01-22,BAJAJFINSV,3140142759936.0,129.05686950683594,131.02522596821652,127.30720583530533,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,378310,
2015-01-23,BAJAJFINSV,3140142759936.0,130.44862365722656,132.11874048599634,128.81826501381744,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,255020,
2015-01-27,BAJAJFINSV,3140142759936.0,136.7314453125,138.87875109276197,130.03107704782346,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,1055220,
2015-01-28,BAJAJFINSV,3140142759936.0,144.1873779296875,149.01880910164599,137.19374459684937,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,2744860,
2015-01-29,BAJAJFINSV,3140142759936.0,145.1665802001953,146.1408301532186,141.66230811960926,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,1059650,
2015-01-30,BAJAJFINSV,3140142759936.0,143.90406799316406,147.1250120659589,138.97819395530541,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,726130,
2015-02-02,BAJAJFINSV,3140142759936.0,150.04275512695312,151.36493858113255,142.05002470626752,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,2714020,
2015-02-03,BAJAJFINSV,3140142759936.0,145.98179626464844,152.2696127255239,144.69441053622356,33.342373,453.603,0.05,,0.16087,,59.0,,221.494,,,,,4.336832,,,,,Financial Services,667360,
