Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,,,,,,,,,,,,,,,,,,,,BAJFINANCE.NS,
2015-01-01,BAJFINANCE,5567541149696.0,33.80405807495117,34.00013755459698,33.468886153754106,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,756600,
2015-01-02,BAJFINANCE,5567541149696.0,33.26362228393555,34.00013153604823,32.99751209709396,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1404300,
2015-01-05,BAJFINANCE,5567541149696.0,33.17669677734375,34.00013849806595,32.9472931756897,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1446200,
2015-01-06,BAJFINANCE,5567541149696.0,33.09072494506836,33.66206175422631,32.765696947334405,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1378100,
2015-01-07,BAJFINANCE,5567541149696.0,33.76444625854492,33.980327073359895,32.87725271383262,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1094700,
2015-01-08,BAJFINANCE,5567541149696.0,33.70698165893555,33.98854537858244,33.473712850934426,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,968600,
2015-01-09,BAJFINANCE,5567541149696.0,33.32448196411133,33.92334700629464,33.23706695349318,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1731600,
2015-01-12,BAJFINANCE,5567541149696.0,33.210025787353516,33.90354998244095,32.82655888705681,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1177400,
2015-01-13,BAJFINANCE,5567541149696.0,33.64274597167969,33.90112574024511,33.06367874824848,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1419200,
2015-01-14,BAJFINANCE,5567541149696.0,36.453067779541016,39.96947649172758,33.5915530485733,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,41759300,
2015-01-15,BAJFINANCE,5567541149696.0,37.28617858886719,38.48873936514649,36.94617602847949,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,12232000,
2015-01-16,BAJFINANCE,5567541149696.0,38.03571701049805,38.43367560585103,36.72642276733716,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,5086200,
2015-01-19,BAJFINANCE,5567541149696.0,37.68751525878906,38.443339736135194,37.519929280937994,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,3989900,
2015-01-20,BAJFINANCE,5567541149696.0,37.71649169921875,38.058907710289446,37.62231532100982,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1867600,
2015-01-21,BAJFINANCE,5567541149696.0,36.87276077270508,37.99901562691937,36.70565750798784,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,5657400,
2015-01-22,BAJFINANCE,5567541149696.0,37.09733963012695,37.57401746348253,36.76265038984197,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,1217100,
2015-01-23,BAJFINANCE,5567541149696.0,37.382286071777344,37.6397005294973,36.907538954065465,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,4241800,
2015-01-27,BAJFINANCE,5567541149696.0,40.27421951293945,41.775731629495276,37.28471800105381,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,11599500,
2015-01-28,BAJFINANCE,5567541149696.0,41.75255584716797,43.39267418861852,40.38482272380106,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,13940500,
2015-01-29,BAJFINANCE,5567541149696.0,39.87675094604492,41.968436075867814,39.70143824526147,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,4071600,
2015-01-30,BAJFINANCE,5567541149696.0,39.124794006347656,41.15031390364861,38.73408306951827,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,5898700,
2015-02-02,BAJFINANCE,5567541149696.0,40.18294143676758,40.85762939862136,38.81955273190512,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,3765600,
2015-02-03,BAJFINANCE,5567541149696.0,40.30078887939453,41.09959862979216,39.98880085770717,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,2104900,
2015-02-04,BAJFINANCE,5567541149696.0,39.67197036743164,40.66492863800218,39.161003129253864,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,2867700,
2015-02-05,BAJFINANCE,5567541149696.0,39.897029876708984,40.761522304726014,39.16873003805755,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,3847300,
2015-02-06,BAJFINANCE,5567541149696.0,39.047027587890625,39.94049626840871,38.35639972863638,31.969316,155.752,0.49,,0.20079,,28.03,,294.158,,,,,5.753377,,,,,Financial Services,3343100,
