Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,,,,,,,,,,,,,,,,,,,,BHARTIARTL.NS,
2015-01-01,BHARTIARTL,11569272455168.0,308.0735778808594,309.7714265920639,298.52322559165475,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2460188,
2015-01-02,BHARTIARTL,11569272455168.0,309.8986511230469,311.55404220813256,307.3094364151562,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2795887,
2015-01-05,BHARTIARTL,11569272455168.0,303.0224304199219,310.91741822106763,301.87640791269064,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,1605267,
2015-01-06,BHARTIARTL,11569272455168.0,300.6454772949219,302.30086872249564,295.76415950129893,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3916948,
2015-01-07,BHARTIARTL,11569272455168.0,301.3670654296875,303.9138526021553,297.546942161836,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4899318,
2015-01-08,BHARTIARTL,11569272455168.0,306.5879821777344,308.1160316289906,299.79658740453385,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,7096620,
2015-01-09,BHARTIARTL,11569272455168.0,302.0461730957031,309.77136155058497,300.4756669607705,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3831782,
2015-01-12,BHARTIARTL,11569272455168.0,296.2310485839844,301.961275772141,294.6605425119434,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2276975,
2015-01-13,BHARTIARTL,11569272455168.0,293.9814758300781,299.0750219486885,292.2836558693027,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,1604173,
2015-01-14,BHARTIARTL,11569272455168.0,293.5570373535156,295.59445591557187,292.5807850720665,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3415213,
2015-01-15,BHARTIARTL,11569272455168.0,296.57061767578125,299.3296319159773,291.43464458412694,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4966049,
2015-01-16,BHARTIARTL,11569272455168.0,291.05267333984375,298.82029042316617,287.8692039236003,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,9779165,
2015-01-19,BHARTIARTL,11569272455168.0,297.5044860839844,299.07499238881894,290.24620873460515,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3385131,
2015-01-20,BHARTIARTL,11569272455168.0,301.2821960449219,303.0649299122139,295.46708247867355,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2891041,
2015-01-21,BHARTIARTL,11569272455168.0,313.2520446777344,314.1009547565943,300.9426760616768,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,5052826,
2015-01-22,BHARTIARTL,11569272455168.0,314.10089111328125,317.4541312380327,306.5879579504379,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2502844,
2015-01-23,BHARTIARTL,11569272455168.0,326.0706787109375,329.1692342817206,315.7987311375812,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,6269436,
2015-01-27,BHARTIARTL,11569272455168.0,334.64483642578125,335.3239759501155,323.94843203566194,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,5268554,
2015-01-28,BHARTIARTL,11569272455168.0,317.1570129394531,335.91817451056016,315.45916441019403,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4490563,
2015-01-29,BHARTIARTL,11569272455168.0,319.02459716796875,323.0145192176664,308.20085349893617,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,7542171,
2015-01-30,BHARTIARTL,11569272455168.0,317.2419128417969,323.2692538401687,310.83257387257726,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,5409140,
2015-02-02,BHARTIARTL,11569272455168.0,305.0174865722656,316.9448273553678,302.6404983171491,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4157252,
2015-02-03,BHARTIARTL,11569272455168.0,315.4167175292969,317.4965638888797,305.69656761211905,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4242370,
2015-02-04,BHARTIARTL,11569272455168.0,313.2095031738281,320.2980096525172,309.85626327432243,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,5535031,
2015-02-05,BHARTIARTL,11569272455168.0,309.6015625,315.71378726716074,305.6540690329694,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,8259274,
2015-02-06,BHARTIARTL,11569272455168.0,312.6152648925781,314.1008570685512,304.76273412360206,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3318996,
2015-02-09,BHARTIARTL,11569272455168.0,302.3009033203125,310.45054791182343,299.8814870143007,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3030260,
2015-02-10,BHARTIARTL,11569272455168.0,302.3433837890625,307.1397885240735,299.6692540518692,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,6847286,
2015-02-11,BHARTIARTL,11569272455168.0,302.3009033203125,306.1634837600503,295.42465237405463,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3489433,
2015-02-12,BHARTIARTL,11569272455168.0,299.41455078125,305.484319551658,296.5282227477739,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4361948,
2015-02-13,BHARTIARTL,11569272455168.0,301.3670654296875,302.6404590159214,296.5282330419339,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3377769,
2015-02-16,BHARTIARTL,11569272455168.0,306.75775146484375,310.2383340860286,298.8203340072112,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2355833,
2015-02-18,BHARTIARTL,11569272455168.0,298.8203430175781,308.62537995341563,297.54697802329866,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3408770,
2015-02-19,BHARTIARTL,11569272455168.0,302.81024169921875,304.2534058242139,297.29226967583304,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3057263,
2015-02-20,BHARTIARTL,11569272455168.0,296.57061767578125,304.59291847664974,295.6368226789301,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4072136,
2015-02-23,BHARTIARTL,11569272455168.0,294.8304138183594,297.8865127364526,293.04767986766234,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2410807,
2015-02-24,BHARTIARTL,11569272455168.0,290.3735656738281,296.99513219076186,288.71817404459466,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,7390936,
2015-02-25,BHARTIARTL,11569272455168.0,295.9339904785156,297.5469538346604,292.5807502734907,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,2882686,
2015-02-26,BHARTIARTL,11569272455168.0,296.57061767578125,299.3296319159773,293.93897439544503,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,4571845,
2015-02-27,BHARTIARTL,11569272455168.0,301.53692626953125,303.9987999593127,294.8728730083334,32.66554,196.589,0.83,,0.29464,,59.05,,126.505,,,,,9.811841,,,,,Communication Services,3711112,
