Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,CIPLA.NS,CIPLA.NS,CIPLA.NS,,,,,,,,,,,,,,,,,,,,CIPLA.NS,
2015-01-01,CIPLA,1286752043008.0,589.6040649414062,595.6089094307071,587.8213436261681,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,596787,
2015-01-02,CIPLA,1286752043008.0,591.2460327148438,598.1891396266965,590.4953770340051,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,688999,
2015-01-05,CIPLA,1286752043008.0,593.9201049804688,598.611417026128,587.3522681165457,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1282895,
2015-01-06,CIPLA,1286752043008.0,576.4214477539062,592.9818010215081,572.8091606386562,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1615490,
2015-01-07,CIPLA,1286752043008.0,574.1696166992188,579.6584281591018,567.1795512233012,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,813936,
2015-01-08,CIPLA,1286752043008.0,580.0337524414062,583.1300065092976,574.216514857104,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1273014,
2015-01-09,CIPLA,1286752043008.0,593.3101806640625,601.8953041681121,582.6609257808225,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,2151608,
2015-01-12,CIPLA,1286752043008.0,591.8089599609375,597.6730994769991,587.3053122659996,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1094136,
2015-01-13,CIPLA,1286752043008.0,597.110107421875,605.4606069274687,589.416345665173,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1261489,
2015-01-14,CIPLA,1286752043008.0,592.4188232421875,602.2236182007014,590.2138725361175,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1033679,
2015-01-15,CIPLA,1286752043008.0,598.6582641601562,600.4878871446978,593.5447230427922,23.868746,386.241,0.82,,,,66.74,,1.404,,,,,4.124368,,,,,Healthcare,1229115,
