Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,COALINDIA.NS,
2015-01-01,COALINDIA,2311948075008.0,158.7432098388672,160.16336720330528,158.11667432404954,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,540225,
2015-01-02,COALINDIA,2311948075008.0,159.4532470703125,161.47904725765082,158.70140974673478,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,969551,
2015-01-05,COALINDIA,2311948075008.0,158.8267364501953,161.22845567330808,157.46924297626202,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,1857013,
2015-01-06,COALINDIA,2311948075008.0,158.70140075683594,159.59943216104287,156.09083693827301,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,4644316,
2015-01-07,COALINDIA,2311948075008.0,156.50856018066406,160.5810405971268,155.6105158400296,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,2628276,
2015-01-08,COALINDIA,2311948075008.0,158.49258422851562,160.8107602186231,157.59453991549228,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,1779075,
2015-01-09,COALINDIA,2311948075008.0,156.6547393798828,159.97538230987763,155.7567077988019,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,1442177,
2015-01-12,COALINDIA,2311948075008.0,149.47047424316406,156.59208865643308,148.6977446499578,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,3794388,
2015-01-13,COALINDIA,2311948075008.0,150.8697052001953,151.370925791599,149.55397087388906,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,1654914,
2015-01-14,COALINDIA,2311948075008.0,151.7051239013672,152.41518977185382,150.4938118191375,6.9769387,160.772,8.46,,,,53.77,,9.15,,,,,2.3334286,,,,,Energy,1186130,
