Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,GRASIM.NS,GRASIM.NS,GRASIM.NS,,,,,,,,,,,,,,,,,,,,GRASIM.NS,
2015-01-01,GRASIM,1912705253376.0,495.6451110839844,496.43174819929385,490.91082560894984,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,266598,
2015-01-02,GRASIM,1912705253376.0,509.2215576171875,510.72199912971644,495.1352121777326,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,291180,
2015-01-05,GRASIM,1912705253376.0,511.1371765136719,516.7819252953376,506.4975622482303,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,641685,
2015-01-06,GRASIM,1912705253376.0,491.6463928222656,508.24557429082745,486.8173797412638,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,812394,
2015-01-07,GRASIM,1912705253376.0,497.830078125,500.23360770799763,490.9107040695671,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,843430,
2015-01-08,GRASIM,1912705253376.0,498.9153747558594,504.3124699855486,495.0332414950702,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,266021,
2015-01-09,GRASIM,1912705253376.0,495.9436950683594,504.56011311471156,494.5525022711846,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,329649,
2015-01-12,GRASIM,1912705253376.0,500.45947265625,502.2730823494894,494.2611626225262,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,184597,
2015-01-13,GRASIM,1912705253376.0,516.5997924804688,522.9582875461293,502.1273896009591,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,611309,
2015-01-14,GRASIM,1912705253376.0,519.5787963867188,524.4005497184156,515.7330791885004,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,347284,
2015-01-15,GRASIM,1912705253376.0,534.3424072265625,537.962365890474,520.0521444543414,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,697076,
2015-01-16,GRASIM,1912705253376.0,529.7319946289062,538.6033256956667,526.614660485566,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,509549,
2015-01-19,GRASIM,1912705253376.0,532.062744140625,541.1671505979112,530.6497132458993,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,472032,
2015-01-20,GRASIM,1912705253376.0,537.751220703125,540.0018254028847,534.0293305018505,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,441416,
2015-01-21,GRASIM,1912705253376.0,551.1092529296875,555.005964242756,532.2813040553575,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,758001,
2015-01-22,GRASIM,1912705253376.0,554.9185791015625,557.1619237492531,547.7661281957029,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,481759,
2015-01-23,GRASIM,1912705253376.0,552.5368041992188,559.6164222811079,547.2999519425123,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,601141,
2015-01-27,GRASIM,1912705253376.0,560.8328857421875,562.8722535390082,549.9075488332059,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,839250,
2015-01-28,GRASIM,1912705253376.0,567.3442993164062,570.0100609295258,557.9412435520244,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,786672,
2015-01-29,GRASIM,1912705253376.0,572.7632446289062,575.3999078685247,561.073167528144,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,537695,
2015-01-30,GRASIM,1912705253376.0,565.7929077148438,579.0416803902759,562.4788562801634,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,727295,
2015-02-02,GRASIM,1912705253376.0,554.7583618164062,564.9698933425128,553.5493077253765,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,397704,
2015-02-03,GRASIM,1912705253376.0,566.3609008789062,568.4075858916351,553.5491828090804,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,1131714,
2015-02-04,GRASIM,1912705253376.0,567.7011108398438,573.5643564592446,564.5108866077225,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,587771,
2015-02-05,GRASIM,1912705253376.0,566.2953491210938,571.808952236795,560.8326826448277,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,1163469,
2015-02-06,GRASIM,1912705253376.0,554.2774658203125,570.7382975648316,550.9780507958691,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,605062,
2015-02-09,GRASIM,1912705253376.0,540.2202758789062,553.6802840795112,536.9645369637713,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,265445,
2015-02-10,GRASIM,1912705253376.0,555.4866333007812,557.7955501293181,531.9753937975978,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,480858,
2015-02-11,GRASIM,1912705253376.0,559.9805908203125,566.3245662052292,552.8427181897043,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,764819,
2015-02-12,GRASIM,1912705253376.0,557.5187377929688,572.7049465656496,554.6563170716754,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,730328,
2015-02-13,GRASIM,1912705253376.0,562.2821655273438,567.2276876460559,559.376068426629,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,392409,
2015-02-16,GRASIM,1912705253376.0,561.5974731445312,568.0871127315496,558.7933071795154,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,259994,
2015-02-18,GRASIM,1912705253376.0,563.367431640625,565.9312044196517,555.0059276337271,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,570707,
2015-02-19,GRASIM,1912705253376.0,551.5316162109375,568.1162765471754,547.8826164028135,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,802206,
2015-02-20,GRASIM,1912705253376.0,547.8244018554688,555.7561722891058,546.4114283014849,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,275256,
2015-02-23,GRASIM,1912705253376.0,538.355712890625,553.4544515690388,532.0408368741765,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,442881,
2015-02-24,GRASIM,1912705253376.0,536.3310546875,540.0747839865634,532.2814173226741,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,298075,
2015-02-25,GRASIM,1912705253376.0,534.3644409179688,541.8956324897522,531.6986216325005,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,278536,
2015-02-26,GRASIM,1912705253376.0,524.109130859375,540.9923826635439,521.5963522297586,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,791021,
2015-02-27,GRASIM,1912705253376.0,545.5737915039062,549.6161680920441,523.6285065975559,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,788973,
2015-03-02,GRASIM,1912705253376.0,580.8334350585938,583.7832665987652,551.3715359074832,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,1010770,
2015-03-03,GRASIM,1912705253376.0,582.3629760742188,586.3033642090754,571.0298009525924,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,753348,
2015-03-04,GRASIM,1912705253376.0,565.61083984375,583.8342337716509,562.5444418716029,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,465680,
2015-03-05,GRASIM,1912705253376.0,551.3204345703125,569.5729818483971,547.3800472065329,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,579547,
2015-03-09,GRASIM,1912705253376.0,540.50439453125,554.7145671051894,538.9821723759221,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,416679,
2015-03-10,GRASIM,1912705253376.0,538.8146362304688,546.0326593090407,535.3403993820917,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,396550,
2015-03-11,GRASIM,1912705253376.0,539.1278076171875,542.0412224241844,530.2709966411842,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,250007,
2015-03-12,GRASIM,1912705253376.0,544.9765014648438,550.4901631628112,540.8248765236253,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,303798,
2015-03-13,GRASIM,1912705253376.0,534.5391235351562,551.6554497142114,526.7457591925639,46.80837,1437.097,0.35,,,,60.22,,118.847,,,,,1.9614542,,,,,Basic Materials,838350,
