Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,,,,,,,,,,,,,,,,,,,,HCLTECH.NS,
2015-01-01,HCLTECH,3987291242496.0,305.24810791015625,306.16947075931574,301.22067322750604,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,1336492,
2015-01-02,HCLTECH,3987291242496.0,304.9536437988281,307.5562602322368,303.96579514133595,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,933372,
2015-01-05,HCLTECH,3987291242496.0,299.82427978515625,306.80577339016463,298.010032034923,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2012624,
2015-01-06,HCLTECH,3987291242496.0,291.81695556640625,299.09291665273133,289.26183294035695,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3470408,
2015-01-07,HCLTECH,3987291242496.0,284.8829040527344,294.0775824574962,283.5720884851729,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3540560,
2015-01-08,HCLTECH,3987291242496.0,291.4749755859375,292.5578101527044,284.0090429729176,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3906036,
2015-01-09,HCLTECH,3987291242496.0,293.61224365234375,300.8501971067586,289.30935841609033,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,6164448,
2015-01-12,HCLTECH,3987291242496.0,299.3114013671875,299.9667976972948,292.6908363302126,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2661684,
2015-01-13,HCLTECH,3987291242496.0,300.8406066894531,302.99679107555136,296.9936615142946,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2916072,
2015-01-14,HCLTECH,3987291242496.0,299.92877197265625,303.7282242490263,294.514552478829,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4133276,
2015-01-15,HCLTECH,3987291242496.0,302.67388916015625,307.46119010340897,294.9229966720138,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3658976,
2015-01-16,HCLTECH,3987291242496.0,311.3652038574219,312.3340598293458,299.3114473099086,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3185348,
2015-01-19,HCLTECH,3987291242496.0,312.4384765625,328.6526351681993,311.51711398630357,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3335832,
2015-01-20,HCLTECH,3987291242496.0,317.66278076171875,319.0115819787385,313.39788072865116,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3099268,
2015-01-21,HCLTECH,3987291242496.0,320.5314025878906,321.4337728129862,311.7451661856444,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,7541032,
2015-01-22,HCLTECH,3987291242496.0,316.4375,321.63327161601694,314.7847468753971,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3769104,
2015-01-23,HCLTECH,3987291242496.0,312.8184814453125,317.0453730792132,309.9024057875696,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4683076,
2015-01-27,HCLTECH,3987291242496.0,307.06231689453125,313.24593650610143,305.3905713322643,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4461772,
2015-01-28,HCLTECH,3987291242496.0,315.2406311035156,316.4469528353173,305.855977226391,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4173388,
2015-01-29,HCLTECH,3987291242496.0,313.2554016113281,315.8675256294614,305.6470106579782,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4751440,
2015-01-30,HCLTECH,3987291242496.0,340.3834533691406,345.7501800652077,333.05051462773923,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,21415344,
2015-02-02,HCLTECH,3987291242496.0,359.23828125,360.948035100476,341.58033270359294,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,10089756,
2015-02-03,HCLTECH,3987291242496.0,360.9954833984375,363.7975796384727,355.4387840749778,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,8442272,
2015-02-04,HCLTECH,3987291242496.0,362.54071044921875,364.38170118875234,359.71724317723937,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4939900,
2015-02-05,HCLTECH,3987291242496.0,376.3339538574219,377.8983063820752,359.9844508994997,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,8494896,
2015-02-06,HCLTECH,3987291242496.0,372.90936279296875,380.9791866271336,371.11608930809325,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4023848,
2015-02-09,HCLTECH,3987291242496.0,380.4642639160156,383.36404734507636,368.44538609429884,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4670508,
2015-02-10,HCLTECH,3987291242496.0,368.8364562988281,379.2337393164535,367.24348273263996,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,5786408,
2015-02-11,HCLTECH,3987291242496.0,373.10028076171875,375.2560569521657,366.51851463825676,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2142516,
2015-02-12,HCLTECH,3987291242496.0,378.5755615234375,379.64390151329906,371.8220924871457,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4365376,
2015-02-13,HCLTECH,3987291242496.0,380.2066650390625,382.31474718683035,377.1256541450292,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3286008,
2015-02-16,HCLTECH,3987291242496.0,378.6612243652344,383.07768742115184,377.85042746705716,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3024868,
2015-02-18,HCLTECH,3987291242496.0,387.8758850097656,389.1826947930016,379.1765117837704,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,6327804,
2015-02-19,HCLTECH,3987291242496.0,390.73748779296875,391.9870787633826,385.3671669434901,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4136952,
2015-02-20,HCLTECH,3987291242496.0,381.69464111328125,392.044227158712,380.8075290803468,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2668572,
2015-02-23,HCLTECH,3987291242496.0,376.01922607421875,386.8362081940028,373.62497967769656,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2666340,
2015-02-24,HCLTECH,3987291242496.0,376.9826354980469,381.3227861752358,373.0908034200089,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3643048,
2015-02-25,HCLTECH,3987291242496.0,378.3465881347656,380.33066127436695,376.17176246765183,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,2276348,
2015-02-26,HCLTECH,3987291242496.0,376.8679504394531,383.0777104899583,374.8648050409747,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4156644,
2015-02-27,HCLTECH,3987291242496.0,385.74859619140625,386.44493239011496,376.8679750301349,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4808820,
2015-03-02,HCLTECH,3987291242496.0,386.2923583984375,389.3543191802146,381.61835148687703,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4098336,
2015-03-03,HCLTECH,3987291242496.0,387.5037841796875,390.11742653519445,378.69949990062935,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,4306688,
2015-03-04,HCLTECH,3987291242496.0,388.41961669921875,391.4147881218003,385.36720320845865,23.517097,3.01,3.62,,0.24607,,62.58,,9.377,,,,,488.93686,,,,,Technology,3430308,
