Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,,,,,,,,,,,,,,,,,,,,HEROMOTOCO.NS,
2015-01-01,HEROMOTOCO,1002140598272.0,2263.638427734375,2274.280967549752,2247.310327870476,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,112464,
2015-01-02,HEROMOTOCO,1002140598272.0,2258.318115234375,2273.552816045116,2252.814609375298,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,187675,
2015-01-05,HEROMOTOCO,1002140598272.0,2273.843994140625,2293.8897438990593,2258.317792152656,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,160068,
2015-01-06,HEROMOTOCO,1002140598272.0,2197.305419921875,2258.244563246306,2187.5377450943074,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,457760,
2015-01-07,HEROMOTOCO,1002140598272.0,2167.892822265625,2202.8452787699985,2162.5350698101092,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,378882,
2015-01-08,HEROMOTOCO,1002140598272.0,2175.145751953125,2186.590015390583,2151.6375580856693,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,513335,
2015-01-09,HEROMOTOCO,1002140598272.0,2181.159423828125,2194.826978075523,2162.2070819383994,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,365342,
2015-01-12,HEROMOTOCO,1002140598272.0,2140.9951171875,2178.0615980993744,2131.4096763194684,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,396343,
2015-01-13,HEROMOTOCO,1002140598272.0,2108.95849609375,2159.510300367713,2104.8400771282286,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,387266,
2015-01-14,HEROMOTOCO,1002140598272.0,2116.138671875,2131.920072409386,2101.523462703768,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,503348,
2015-01-15,HEROMOTOCO,1002140598272.0,2150.762939453125,2164.940714262014,2134.799128418672,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,548030,
2015-01-16,HEROMOTOCO,1002140598272.0,2112.23876953125,2164.9409018248325,2107.5736482007214,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,441344,
2015-01-19,HEROMOTOCO,1002140598272.0,2071.127197265625,2128.4944610161656,2067.263798438988,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,494968,
2015-01-20,HEROMOTOCO,1002140598272.0,2061.905517578125,2090.5892311078314,2038.9805073832893,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,620515,
2015-01-21,HEROMOTOCO,1002140598272.0,2095.801513671875,2109.5420366159574,2065.732885817553,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,502824,
2015-01-22,HEROMOTOCO,1002140598272.0,2069.340576171875,2120.47537876475,2049.477064975127,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,616241,
2015-01-23,HEROMOTOCO,1002140598272.0,2086.799560546875,2110.7087146313406,2078.1980737895155,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,616170,
2015-01-27,HEROMOTOCO,1002140598272.0,2083.117431640625,2091.791701260811,2057.7868986165636,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,563105,
2015-01-28,HEROMOTOCO,1002140598272.0,2088.475341796875,2110.634932831719,2070.579921089099,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,415685,
2015-01-29,HEROMOTOCO,1002140598272.0,2096.78466796875,2113.003496010573,2082.5704141792867,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,544345,
2015-01-30,HEROMOTOCO,1002140598272.0,2088.766845703125,2140.7765188568696,2082.862390832655,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,447643,
2015-02-02,HEROMOTOCO,1002140598272.0,2065.222412109375,2105.751343979384,2048.3111245385203,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,298183,
2015-02-03,HEROMOTOCO,1002140598272.0,2050.06005859375,2084.757492237137,2034.4608953964507,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,377426,
2015-02-04,HEROMOTOCO,1002140598272.0,2062.525390625,2087.673694557342,2004.574951128733,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,902976,
2015-02-05,HEROMOTOCO,1002140598272.0,2075.50048828125,2083.1543198947893,2049.040063396133,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,475877,
2015-02-06,HEROMOTOCO,1002140598272.0,2023.7457275390625,2079.6186193937906,2020.0645639184027,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,544388,
2015-02-09,HEROMOTOCO,1002140598272.0,1989.12109375,2015.4720656065988,1971.7723769846825,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,425252,
2015-02-10,HEROMOTOCO,1002140598272.0,1982.8157958984375,2006.0324857872215,1961.3486597227004,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,531510,
2015-02-11,HEROMOTOCO,1002140598272.0,2007.0172119140625,2015.7279667519242,1969.258268848837,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,427723,
2015-02-12,HEROMOTOCO,1002140598272.0,2046.5252685546875,2054.8715541023807,2023.23578795233,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,471851,
2015-02-13,HEROMOTOCO,1002140598272.0,2079.582275390625,2090.7350362461466,2051.9556611205808,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,278795,
2015-02-16,HEROMOTOCO,1002140598272.0,2044.6663818359375,2085.960553264299,2036.1378624668625,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,278310,
2015-02-18,HEROMOTOCO,1002140598272.0,1941.7042236328125,1988.5383846345615,1928.5468867782472,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,10612619,
2015-02-19,HEROMOTOCO,1002140598272.0,1942.5787353515625,1968.1279879732147,1931.025201903645,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,4318965,
2015-02-20,HEROMOTOCO,1002140598272.0,1938.169189453125,1956.0281337103888,1929.8958669525673,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,516004,
2015-02-23,HEROMOTOCO,1002140598272.0,1930.1510009765625,1941.0487446645607,1916.5564056351595,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,569905,
2015-02-24,HEROMOTOCO,1002140598272.0,1932.7020263671875,1946.2603154804538,1924.5014913300508,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,433596,
2015-02-25,HEROMOTOCO,1002140598272.0,1913.12939453125,1946.2595067216225,1906.1680187554468,19.892773,963.55,2.55,,,,251.8,,3.607,,,,,5.198485,,,,,Consumer Cyclical,587341,
