Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,,,,,,,,,,,,,,,,,,,,HINDALCO.NS,
2015-01-01,HINDALCO,1573727502336.0,146.6715087890625,147.18062699034752,143.84822978604245,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,2350082,
2015-01-02,HINDALCO,1573727502336.0,148.19888305664062,149.2171054697966,146.57897028048848,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,2923839,
2015-01-05,HINDALCO,1573727502336.0,145.1904754638672,149.91135571119426,143.94082279940253,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,4830121,
2015-01-06,HINDALCO,1573727502336.0,141.99691772460938,144.6813530427741,139.91417275986075,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,7054029,
2015-01-07,HINDALCO,1573727502336.0,137.8314208984375,143.01514709001867,135.79496208192975,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,6638158,
2015-01-08,HINDALCO,1573727502336.0,141.2100830078125,141.81175911558674,137.50742603808692,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,3540099,
2015-01-09,HINDALCO,1573727502336.0,143.4779510498047,143.70936709988501,140.79353051867878,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,3743205,
2015-01-12,HINDALCO,1573727502336.0,139.8678741455078,143.6630891045005,139.31246994442813,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,4659450,
2015-01-13,HINDALCO,1573727502336.0,140.4232940673828,142.92258525440508,139.54391566586813,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,4324660,
2015-01-14,HINDALCO,1573727502336.0,131.5832061767578,140.09933108034406,130.33356754653917,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,13580758,
2015-01-15,HINDALCO,1573727502336.0,131.3517608642578,134.91557413266307,128.06566384022815,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,10860317,
2015-01-16,HINDALCO,1573727502336.0,128.25079345703125,132.74025690268093,127.51025918134698,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,9096928,
2015-01-19,HINDALCO,1573727502336.0,129.82443237304688,131.16664293096625,129.13018407158674,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,8541810,
2015-01-20,HINDALCO,1573727502336.0,133.94363403320312,134.4064662269077,130.5186786246927,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,8856169,
2015-01-21,HINDALCO,1573727502336.0,132.55511474609375,135.47096554167325,130.0558241531079,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,8871757,
2015-01-22,HINDALCO,1573727502336.0,132.7865753173828,134.12878607425864,130.6112721250723,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,6918171,
2015-01-23,HINDALCO,1573727502336.0,134.0362091064453,135.3784196731732,131.53691802969033,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,6943971,
2015-01-27,HINDALCO,1573727502336.0,131.9071807861328,133.75850963927152,128.66735529314008,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,7886739,
2015-01-28,HINDALCO,1573727502336.0,129.73187255859375,132.46259410233884,129.269040313826,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,7496686,
2015-01-29,HINDALCO,1573727502336.0,131.8146209716797,132.27745322807536,127.97311889340342,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,10636771,
2015-01-30,HINDALCO,1573727502336.0,129.31532287597656,132.46259053023684,128.2971004396573,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,7570814,
2015-02-02,HINDALCO,1573727502336.0,134.45277404785156,134.86932026474815,129.1302029581776,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,7296741,
2015-02-03,HINDALCO,1573727502336.0,135.56356811523438,137.4611832339402,132.2774561961857,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,6262548,
2015-02-04,HINDALCO,1573727502336.0,141.07125854492188,142.36719726814115,135.14701163012134,9.310866,557.136,0.71,,0.14729999,,76.11,,53.056,,,,,1.2719517,,,,,Basic Materials,8349284,
