Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,,,,,,,,,,,,,,,,,,,,ICICIBANK.NS,
2015-01-01,ICICIBANK,10282111860736.0,294.02386474609375,294.9836233303203,292.2712414062373,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,2583280,
2015-01-02,ICICIBANK,10282111860736.0,302.3697509765625,303.3712541830371,293.77352679450007,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,8272990,
2015-01-05,ICICIBANK,10282111860736.0,302.99560546875,306.62605736940117,301.7020032554291,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,10316090,
2015-01-06,ICICIBANK,10282111860736.0,290.1430358886719,300.3667049344391,288.9328945119674,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,13282427,
2015-01-07,ICICIBANK,10282111860736.0,282.2979736328125,288.97465175129776,279.96115170037604,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,21254332,
2015-01-08,ICICIBANK,10282111860736.0,289.9761657714844,290.8524635229332,284.7600116708308,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,12558144,
2015-01-09,ICICIBANK,10282111860736.0,285.302490234375,292.43816161299736,281.33822213149034,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,15701030,
2015-01-12,ICICIBANK,10282111860736.0,289.22503662109375,290.1013624472304,282.67356322082225,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,8304115,
2015-01-13,ICICIBANK,10282111860736.0,284.5096130371094,291.26975196127665,283.54985440804086,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,13100848,
2015-01-14,ICICIBANK,10282111860736.0,281.1712646484375,285.2607096200544,277.9163728386153,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,13127934,
2015-01-15,ICICIBANK,10282111860736.0,294.48284912109375,297.1117697951213,290.05956086131,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,16662989,
2015-01-16,ICICIBANK,10282111860736.0,295.3174743652344,295.94341729141297,289.9761432903106,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,14726646,
2015-01-19,ICICIBANK,10282111860736.0,301.1177978515625,301.952379001543,295.02534705177857,19.566576,461.866,0.76,,0.17884001,,73.6,,,,,,,3.1180038,,,,,Financial Services,10277015,
