Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ITC.NS,ITC.NS,ITC.NS,,,,,,,,,,,,,,,,,,,,ITC.NS,
2015-01-01,ITC,4993142751232.0,175.117431640625,175.95212276552115,174.56892563244702,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,2538978,
2015-01-02,ITC,4993142751232.0,175.66590881347656,176.54828452182898,175.1650877017642,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,6599676,
2015-01-05,ITC,4993142751232.0,176.3574981689453,177.335276152574,175.30818211141894,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,8238987,
2015-01-06,ITC,4993142751232.0,171.8263702392578,176.1905864633155,171.2301576643441,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,13093039,
2015-01-07,ITC,4993142751232.0,168.63070678710938,173.61498897413196,168.36837499654555,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,11960580,
2015-01-08,ITC,4993142751232.0,172.85183715820312,173.30495171021738,169.53692637822732,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,8449164,
2015-01-09,ITC,4993142751232.0,170.228515625,174.4973399177804,168.41604665653236,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,10808512,
2015-01-12,ITC,4993142751232.0,170.68162536621094,172.3509963013277,169.84693444023085,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,9868950,
2015-01-13,ITC,4993142751232.0,171.75482177734375,172.5179638321373,170.4193204522438,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,11623503,
2015-01-14,ITC,4993142751232.0,165.88815307617188,171.56402788183686,165.07731537776894,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,16224852,
2015-01-15,ITC,4993142751232.0,170.70550537109375,171.659430209398,167.36675206176125,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,16047717,
2015-01-16,ITC,4993142751232.0,171.75482177734375,172.63720853086426,169.0122810413837,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,10813588,
2015-01-19,ITC,4993142751232.0,171.13478088378906,172.54183132719976,169.79927944886722,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,6853234,
2015-01-20,ITC,4993142751232.0,177.00143432617188,177.35915752482367,170.80090616077112,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,12014673,
2015-01-21,ITC,4993142751232.0,168.2252655029297,177.88379018654126,166.555894505204,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,32448214,
2015-01-22,ITC,4993142751232.0,167.24749755859375,171.6117244529181,166.3889641627653,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,29627575,
2015-01-23,ITC,4993142751232.0,166.67514038085938,169.77541506636774,166.36512382915308,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,16747498,
2015-01-27,ITC,4993142751232.0,171.77865600585938,172.18407483629068,166.62743406204825,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,25255861,
2015-01-28,ITC,4993142751232.0,172.80413818359375,173.35264411331968,170.53855454968823,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,12317799,
2015-01-29,ITC,4993142751232.0,176.57215881347656,177.43069223770942,171.70712152036396,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,21093768,
2015-01-30,ITC,4993142751232.0,175.78514099121094,177.4306695453632,173.44801949169099,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,13917157,
2015-02-02,ITC,4993142751232.0,172.01710510253906,176.09514601470403,171.42090361056046,25.006275,55.961,3.87,,,,15.94,,0.405,,,,,7.122818,,,,,Consumer Defensive,8493861,
