Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,,,,,,,,,,,,,,,,,,,,JSWSTEEL.NS,
2015-01-01,JSWSTEEL,2570854334464.0,94.50641632080078,95.04726418287481,92.38735932591577,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,2674400,
2015-01-02,JSWSTEEL,2570854334464.0,94.79456329345703,95.66789913877811,94.27588273165756,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,3664240,
2015-01-05,JSWSTEEL,2570854334464.0,94.56846618652344,96.37719513342596,93.80595975629619,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,3392870,
2015-01-06,JSWSTEEL,2570854334464.0,91.11946105957031,93.89019498106809,90.48552038528543,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5549800,
2015-01-07,JSWSTEEL,2570854334464.0,89.71414184570312,90.95100120425032,88.41965582386844,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5286870,
2015-01-08,JSWSTEEL,2570854334464.0,90.6229476928711,91.75783922464082,88.53935713709194,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,4780810,
2015-01-09,JSWSTEEL,2570854334464.0,89.81166076660156,91.76669191345172,89.0225564207752,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5046040,
2015-01-12,JSWSTEEL,2570854334464.0,88.72554016113281,89.72743500470091,88.45511628875789,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,2409440,
2015-01-13,JSWSTEEL,2570854334464.0,88.08273315429688,89.90476789473307,87.7014799289542,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5067780,
2015-01-14,JSWSTEEL,2570854334464.0,85.84842681884766,88.4861712217709,85.38737961858598,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5881870,
2015-01-15,JSWSTEEL,2570854334464.0,86.08780670166016,87.59952065410322,84.81991867130255,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,6814340,
2015-01-16,JSWSTEEL,2570854334464.0,86.93011474609375,88.00294213372476,85.20117944464032,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,4952730,
2015-01-19,JSWSTEEL,2570854334464.0,86.59320068359375,87.96305001800353,86.20751665620341,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,3389350,
2015-01-20,JSWSTEEL,2570854334464.0,89.11566162109375,89.39494697064124,86.7793771344523,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,6121230,
2015-01-21,JSWSTEEL,2570854334464.0,88.6590576171875,89.81611641081787,87.06754286017993,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,5028900,
2015-01-22,JSWSTEEL,2570854334464.0,88.06499481201172,89.51464453835196,87.4399224473576,53.121536,325.739,0.26,,,,19.83,,122.497,,,,,3.2338774,,,,,Basic Materials,3852690,
