Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,,,,,,,,,,,,,,,,,,,,KOTAKBANK.NS,
2015-01-01,KOTAKBANK,3960335761408.0,624.7947387695312,627.9718416294302,621.0715855582895,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,501996,
2015-01-02,KOTAKBANK,3960335761408.0,631.2235717773438,634.9218806190694,624.6459995191713,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1263630,
2015-01-05,KOTAKBANK,3960335761408.0,628.6917724609375,634.8473993139546,626.482725283809,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,610230,
2015-01-06,KOTAKBANK,3960335761408.0,621.1956787109375,626.6066733934514,612.3594316185549,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,2269086,
2015-01-07,KOTAKBANK,3960335761408.0,631.1986083984375,647.307427920486,619.2845174809679,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,3571774,
2015-01-08,KOTAKBANK,3960335761408.0,665.5260620117188,671.65684220638,638.5952536675235,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,6909766,
2015-01-09,KOTAKBANK,3960335761408.0,675.6033935546875,680.3442331361421,665.4764647578172,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,6437410,
2015-01-12,KOTAKBANK,3960335761408.0,680.592529296875,688.535257574592,669.3238077921471,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1686842,
2015-01-13,KOTAKBANK,3960335761408.0,691.4888916015625,699.8784099329913,678.9542743324707,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1921642,
2015-01-14,KOTAKBANK,3960335761408.0,690.6201782226562,693.7476516248988,683.6702911938559,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1518580,
2015-01-15,KOTAKBANK,3960335761408.0,695.187255859375,716.8311767781894,691.042156949862,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,3970818,
2015-01-16,KOTAKBANK,3960335761408.0,692.6802368164062,694.9886039419958,685.0601953142531,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,2680600,
2015-01-19,KOTAKBANK,3960335761408.0,689.75146484375,694.4923050323246,686.0531562220675,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1755076,
2015-01-20,KOTAKBANK,3960335761408.0,692.8541259765625,695.6837594238534,686.3758742647597,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,3783726,
2015-01-21,KOTAKBANK,3960335761408.0,689.1060180664062,704.4205759020729,687.5671268842157,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,2684130,
2015-01-22,KOTAKBANK,3960335761408.0,688.8578491210938,694.2439988805053,680.1704912516559,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,4000016,
2015-01-23,KOTAKBANK,3960335761408.0,687.69140625,692.8789767136767,686.0531942097805,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1554812,
2015-01-27,KOTAKBANK,3960335761408.0,689.205322265625,691.5136894865661,676.2736058527394,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,1686732,
2015-01-28,KOTAKBANK,3960335761408.0,670.738525390625,690.0244483933456,668.4550033645032,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,7440398,
2015-01-29,KOTAKBANK,3960335761408.0,660.9342651367188,672.5753016104081,657.6330566954887,20.694027,792.111,0.12,,0.13324,,96.25,,,,,,,2.5145466,,,,,Financial Services,4500854,
