Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,M&M.NS,M&M.NS,M&M.NS,,,,,,,,,,,,,,,,,,,,M&M.NS,
2015-01-01,M&M,4138077519872.0,559.4360961914062,562.4886757154677,556.2930367440241,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,713338,
2015-01-02,M&M,4138077519872.0,553.8284912109375,562.4435175316254,552.8561768733155,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1279856,
2015-01-05,M&M,4138077519872.0,551.0244750976562,564.3880113914263,550.368757903338,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1456708,
2015-01-06,M&M,4138077519872.0,547.9493408203125,553.6926905771404,543.1330376471022,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2579114,
2015-01-07,M&M,4138077519872.0,553.602294921875,556.8809916160197,543.8114172012489,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2189814,
2015-01-08,M&M,4138077519872.0,559.6848754882812,563.8228282807211,556.2479075879583,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1672412,
2015-01-09,M&M,4138077519872.0,559.9561767578125,563.4836244177703,554.0771341274506,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1532294,
2015-01-12,M&M,4138077519872.0,557.6046142578125,559.775359898709,550.3688690606308,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,897684,
2015-01-13,M&M,4138077519872.0,564.7498779296875,570.3123233680402,556.247856096233,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1478978,
2015-01-14,M&M,4138077519872.0,559.390869140625,570.9454708502655,553.737943686662,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2831716,
2015-01-15,M&M,4138077519872.0,578.000244140625,585.1907755299686,566.8300868130965,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2859036,
2015-01-16,M&M,4138077519872.0,589.9844970703125,593.715427770847,576.3948977624901,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2131084,
2015-01-19,M&M,4138077519872.0,602.4661254882812,603.7324027968598,586.095276423019,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1362458,
2015-01-20,M&M,4138077519872.0,599.3231201171875,605.5413377377205,594.8234138117042,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1838290,
2015-01-21,M&M,4138077519872.0,599.2328491210938,605.993727204806,594.7105078732967,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1391960,
2015-01-22,M&M,4138077519872.0,601.4486083984375,604.2298586418734,594.6877319308487,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,1815350,
2015-01-23,M&M,4138077519872.0,615.8975219726562,622.1157397385069,602.0591720218872,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,4563196,
2015-01-27,M&M,4138077519872.0,598.9613037109375,615.0382446132654,593.8284588133064,27.829432,690.119,0.75,,,,122.18,,145.369,,,,,4.926976,,,,,Consumer Cyclical,2382932,
