Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,,,,,,,,,,,,,,,,,,,,NESTLEIND.NS,
2015-01-01,NESTLEIND,2248794963968.0,265.9219055175781,269.3753893823682,265.1663989232687,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,60500,
2015-01-02,NESTLEIND,2248794963968.0,266.4922790527344,267.9654259227005,263.3165768036503,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,136860,
2015-01-05,NESTLEIND,2248794963968.0,266.63531494140625,268.112674605698,264.7454824599435,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,213800,
2015-01-06,NESTLEIND,2248794963968.0,262.9272766113281,265.715733465995,261.79926997778256,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,263180,
2015-01-07,NESTLEIND,2248794963968.0,264.0279235839844,265.54317592903595,262.9588489974201,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,713460,
2015-01-08,NESTLEIND,2248794963968.0,265.1853942871094,267.0605071688423,264.1142131575233,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,150480,
2015-01-09,NESTLEIND,2248794963968.0,268.8008117675781,272.7404198726145,264.05095261181697,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,409840,
2015-01-12,NESTLEIND,2248794963968.0,272.0166015625,274.4262388594494,268.7651402971959,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,951140,
2015-01-13,NESTLEIND,2248794963968.0,282.61895751953125,283.7280048020233,272.3216522109285,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,1102160,
2015-01-14,NESTLEIND,2248794963968.0,285.447509765625,291.6831321537562,281.3689956780537,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,748060,
2015-01-15,NESTLEIND,2248794963968.0,286.5943908691406,292.1039713145242,284.571973804684,72.16584,20.796,1.7,,,,16.16,,29.106,,,,,56.07809,,,,,Consumer Defensive,1195060,
