Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,ONGC.NS,ONGC.NS,ONGC.NS,,,,,,,,,,,,,,,,,,,,ONGC.NS,
2015-01-01,ONGC,2977631305728.0,136.94261169433594,137.22122923431812,135.37038994319832,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,1849323,
2015-01-02,ONGC,2977631305728.0,138.99249267578125,140.30599377417818,136.96252815079424,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,3736468,
2015-01-05,ONGC,2977631305728.0,140.56472778320312,142.4951816547645,137.71880695248427,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,6074619,
2015-01-06,ONGC,2977631305728.0,132.60409545898438,138.89298344329512,131.58910862968398,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,9024997,
2015-01-07,ONGC,2977631305728.0,134.55441284179688,135.94751863717084,130.59400466234948,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,8937670,
2015-01-08,ONGC,2977631305728.0,136.04705810546875,136.86302323656517,133.53946350149604,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,6578931,
2015-01-09,ONGC,2977631305728.0,139.70896911621094,142.0573541047141,133.89771042158827,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,13223764,
2015-01-12,ONGC,2977631305728.0,138.39547729492188,140.26622308834453,137.10187260363472,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,3157549,
2015-01-13,ONGC,2977631305728.0,135.3107147216797,138.75368241392434,134.65396866171466,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,7395021,
2015-01-14,ONGC,2977631305728.0,136.94261169433594,137.7187742210292,134.9325532701596,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,6704722,
2015-01-15,ONGC,2977631305728.0,137.91781616210938,140.50501602596012,136.38539658987781,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,10737987,
2015-01-16,ONGC,2977631305728.0,138.15660095214844,140.10696016112072,136.66398422141992,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,4284924,
2015-01-19,ONGC,2977631305728.0,138.3158416748047,140.50500714812028,137.63918986594635,8.255668,272.999,6.19,,,,28.67,,50.187,,,,,0.86699957,,,,,Energy,3049690,
