Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,SBIN.NS,SBIN.NS,SBIN.NS,,,,,,,,,,,,,,,,,,,,SBIN.NS,
2015-01-01,SBIN,7563570053120.0,279.8805847167969,280.77192415857013,276.9391754395536,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,6138488,
2015-01-02,SBIN,7563570053120.0,280.9947204589844,283.7132945027229,280.1925205117761,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9935094,
2015-01-05,SBIN,7563570053120.0,278.7663879394531,282.3763015069824,278.18702278931517,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9136716,
2015-01-06,SBIN,7563570053120.0,267.31268310546875,277.2956953589099,266.24309213643437,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15329257,
2015-01-07,SBIN,7563570053120.0,267.5354919433594,269.6747008749393,263.07879533526904,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15046745,
2015-01-08,SBIN,7563570053120.0,271.72479248046875,273.1954968929332,269.4964442186993,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,8939749,
2015-01-09,SBIN,7563570053120.0,270.25408935546875,274.39881170180155,269.1844713041171,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,11953948,
2015-01-12,SBIN,7563570053120.0,273.73028564453125,274.35420679071115,268.38225021234183,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,8536142,
2015-01-13,SBIN,7563570053120.0,271.9476013183594,276.9836624683909,271.10081817920184,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9484804,
2015-01-14,SBIN,7563570053120.0,271.59112548828125,273.64119522335324,269.4073330822753,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,8855660,
2015-01-15,SBIN,7563570053120.0,285.4959716796875,288.52654711153815,279.8805448764672,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,30729523,
2015-01-16,SBIN,7563570053120.0,281.17303466796875,285.4960091513827,279.07838156274056,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,21598514,
2015-01-19,SBIN,7563570053120.0,279.1229553222656,283.40140118704096,278.54359009517214,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9975658,
2015-01-20,SBIN,7563570053120.0,283.5796203613281,285.05032490868007,279.88056734783106,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13104643,
2015-01-21,SBIN,7563570053120.0,290.7548828125,292.002752359029,284.3372291424711,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,22617660,
2015-01-22,SBIN,7563570053120.0,289.3733215332031,292.0027835598814,286.83299888398363,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12232626,
2015-01-23,SBIN,7563570053120.0,291.86907958984375,296.4148884910727,289.37331310131685,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17127278,
2015-01-27,SBIN,7563570053120.0,294.1864929199219,296.0583106855726,287.54603218185747,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13734088,
2015-01-28,SBIN,7563570053120.0,298.24212646484375,299.4899960079068,292.5375605526154,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,19428852,
2015-01-29,SBIN,7563570053120.0,291.46795654296875,297.3508014731303,289.7744172816464,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,14911660,
2015-01-30,SBIN,7563570053120.0,275.3793029785156,294.58765508450784,273.64118036594226,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,30252827,
2015-02-02,SBIN,7563570053120.0,274.08685302734375,278.0087407685695,271.947644004995,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17639807,
2015-02-03,SBIN,7563570053120.0,267.6692199707031,278.0979021831807,266.5550456831103,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,23743882,
2015-02-04,SBIN,7563570053120.0,261.2070007324219,270.03128256860447,260.1819658609873,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,21477507,
2015-02-05,SBIN,7563570053120.0,259.20147705078125,265.4408526199687,257.7753558247534,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15722348,
2015-02-06,SBIN,7563570053120.0,258.75579833984375,262.8114086392355,254.65565915578046,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15985714,
2015-02-09,SBIN,7563570053120.0,249.12933349609375,260.984135264854,247.79232455067643,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17088719,
2015-02-10,SBIN,7563570053120.0,256.081787109375,259.2014748676936,245.74227230016243,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,22589681,
2015-02-11,SBIN,7563570053120.0,254.87850952148438,261.6081110372347,252.8729958934306,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17366588,
2015-02-12,SBIN,7563570053120.0,253.40774536132812,257.59705084037665,248.05970970374244,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,20957180,
2015-02-13,SBIN,7563570053120.0,273.59661865234375,274.4879579837389,254.34368365390532,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,70540056,
2015-02-16,SBIN,7563570053120.0,273.373779296875,279.12290156835115,271.59110066357687,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,21372131,
2015-02-18,SBIN,7563570053120.0,272.4824523925781,274.44338265762167,269.1844858901379,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13472484,
2015-02-19,SBIN,7563570053120.0,269.4964599609375,273.908573456058,264.5495102099305,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17762135,
2015-02-20,SBIN,7563570053120.0,269.45184326171875,273.195478976588,264.77231221888974,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15792502,
2015-02-23,SBIN,7563570053120.0,264.32666015625,271.5019578861863,262.41028608979485,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12440505,
2015-02-24,SBIN,7563570053120.0,264.05926513671875,266.5104481886208,260.360212516879,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15046698,
2015-02-25,SBIN,7563570053120.0,263.43536376953125,267.98120040833226,262.9451379522627,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12845169,
2015-02-26,SBIN,7563570053120.0,257.9535827636719,264.7277667469959,256.75026929270047,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,18707345,
2015-02-27,SBIN,7563570053120.0,267.31268310546875,268.2931618948903,258.57756778484776,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,18316053,
2015-03-02,SBIN,7563570053120.0,269.1844787597656,272.66069672066436,264.4603911720722,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15085595,
2015-03-03,SBIN,7563570053120.0,269.71929931640625,272.2150386765557,267.1344205787831,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,14387971,
2015-03-04,SBIN,7563570053120.0,261.9200744628906,280.7718963488681,260.2710912186333,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,38674148,
2015-03-05,SBIN,7563570053120.0,261.8754577636719,264.0592497817131,258.2655447232114,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,16803823,
2015-03-09,SBIN,7563570053120.0,259.0677795410156,262.0537718372884,257.3296841099447,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13199803,
2015-03-10,SBIN,7563570053120.0,256.3492126464844,261.3852747330057,254.12086418328738,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,14064427,
2015-03-11,SBIN,7563570053120.0,254.16539001464844,259.29059086986837,252.91752046411548,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,16329314,
2015-03-12,SBIN,7563570053120.0,255.68067932128906,257.9981669023996,255.01217485759466,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9969794,
2015-03-13,SBIN,7563570053120.0,250.24349975585938,259.4242833453701,249.57499530415186,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13414248,
2015-03-16,SBIN,7563570053120.0,251.0457305908203,253.0066881047263,249.5750260561504,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15132928,
2015-03-17,SBIN,7563570053120.0,252.33816528320312,253.14036522565706,249.12933831187024,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,11350496,
2015-03-18,SBIN,7563570053120.0,256.081787109375,257.10684913403736,251.3576993845285,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12394230,
2015-03-19,SBIN,7563570053120.0,251.0011749267578,258.7558112142701,250.10983554647922,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,11046649,
2015-03-20,SBIN,7563570053120.0,248.01516723632812,251.7142199955961,246.72271433418413,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,11482652,
2015-03-23,SBIN,7563570053120.0,244.8954620361328,249.57499315784236,243.82584404199298,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13058026,
2015-03-24,SBIN,7563570053120.0,241.15185546875,246.36619621913968,239.77029032702708,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17585259,
2015-03-25,SBIN,7563570053120.0,236.5614471435547,242.53343139383688,236.20491686029538,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15824629,
2015-03-26,SBIN,7563570053120.0,228.76220703125,237.0070948760264,227.4697678730311,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,22253318,
2015-03-27,SBIN,7563570053120.0,234.95704650878906,236.1603600122277,228.18286234268714,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,19423101,
2015-03-30,SBIN,7563570053120.0,238.789794921875,240.08224779772314,234.55593321332574,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12303870,
2015-03-31,SBIN,7563570053120.0,238.0321502685547,241.8649255969218,237.09625487989868,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,19482636,
2015-04-01,SBIN,7563570053120.0,243.7367706298828,244.8063615925662,234.5559584581114,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12383589,
2015-04-06,SBIN,7563570053120.0,244.8063507080078,245.78682944801352,241.73124622530833,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12925445,
2015-04-07,SBIN,7563570053120.0,242.4888458251953,246.32162113833084,240.92900204928958,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12933524,
2015-04-08,SBIN,7563570053120.0,244.1378631591797,247.21299505719654,242.31062821784946,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,9913899,
2015-04-09,SBIN,7563570053120.0,250.3326416015625,251.17939759453287,242.88995319189303,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13471276,
2015-04-10,SBIN,7563570053120.0,254.70022583007812,256.12637426715577,249.61958052346375,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,16880558,
2015-04-13,SBIN,7563570053120.0,255.19044494628906,257.1514023962962,252.56101018550478,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,11985436,
2015-04-15,SBIN,7563570053120.0,258.4884033203125,262.45487418290355,254.87848994765304,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17289500,
2015-04-16,SBIN,7563570053120.0,260.6275939941406,262.2765770642444,255.36869780426858,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15043998,
2015-04-17,SBIN,7563570053120.0,260.0482482910156,262.8559617268619,257.77534389092995,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,16819018,
2015-04-20,SBIN,7563570053120.0,256.39373779296875,261.47438255652196,253.89799869598724,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13788536,
2015-04-21,SBIN,7563570053120.0,257.77532958984375,260.27106868290906,251.13484110071792,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,15487948,
2015-04-22,SBIN,7563570053120.0,253.00665283203125,261.38523638409123,245.47482525084348,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,17741741,
2015-04-23,SBIN,7563570053120.0,247.48037719726562,256.1709362850247,246.2325074865067,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,13874710,
2015-04-24,SBIN,7563570053120.0,245.60853576660156,249.21847628972984,244.53894491648418,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,10049508,
2015-04-27,SBIN,7563570053120.0,238.0321502685547,246.49987365712252,237.18539425060803,9.205708,583.192,1.93,,0.16584,,89.01,,,,,,,1.4050261,,,,,Financial Services,12394191,
