Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TITAN.NS,TITAN.NS,TITAN.NS,,,,,,,,,,,,,,,,,,,,TITAN.NS,
2015-01-01,TITAN,3206667567104.0,362.7237548828125,365.35011180221153,360.81367712324953,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,269753,
2015-01-02,TITAN,3206667567104.0,365.5888977050781,371.0326313678939,362.7237808605384,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,623981,
2015-01-05,TITAN,3206667567104.0,368.54949951171875,372.08315504075824,365.58887314218214,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,551576,
2015-01-06,TITAN,3206667567104.0,355.9429626464844,366.1618600386622,352.60032693824974,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,519159,
2015-01-07,TITAN,3206667567104.0,357.757568359375,360.43166555085133,353.3643837058294,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,397373,
2015-01-08,TITAN,3206667567104.0,356.13397216796875,362.914753657506,352.170566871593,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,672501,
2015-01-09,TITAN,3206667567104.0,356.13397216796875,359.9541274696267,352.791336279018,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,985975,
2015-01-12,TITAN,3206667567104.0,359.8586120605469,361.4821896962351,353.9373889240077,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,344364,
2015-01-13,TITAN,3206667567104.0,355.4654541015625,366.7349003177206,354.12837646111046,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,715002,
2015-01-14,TITAN,3206667567104.0,354.8924560546875,360.0019199265888,352.40934912067735,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,404068,
2015-01-15,TITAN,3206667567104.0,358.9991149902344,361.95974139538646,353.0778913254043,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,648144,
2015-01-16,TITAN,3206667567104.0,369.79107666015625,376.28532957328196,360.00192785780564,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,1387070,
2015-01-19,TITAN,3206667567104.0,376.7628479003906,377.7178868050811,371.7011533637209,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,913385,
2015-01-20,TITAN,3206667567104.0,375.9033508300781,380.96504579918724,372.8949838523821,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,603286,
2015-01-21,TITAN,3206667567104.0,388.6531066894531,390.1811456707753,372.89496424439636,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,1885665,
2015-01-22,TITAN,3206667567104.0,381.77679443359375,390.8019235586938,375.42579167486264,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,785747,
2015-01-23,TITAN,3206667567104.0,380.9173278808594,387.2205913896383,376.28538269623886,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,709214,
2015-01-27,TITAN,3206667567104.0,382.63629150390625,388.70079374649,375.5690101739734,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,1306898,
2015-01-28,TITAN,3206667567104.0,413.7705993652344,418.1160146594091,385.83571181432126,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,6282139,
2015-01-29,TITAN,3206667567104.0,421.9361267089844,424.03722370987936,406.51225604502775,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,3488597,
2015-01-30,TITAN,3206667567104.0,411.2397766113281,422.9390037178826,409.47294872940637,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,970722,
2015-02-02,TITAN,3206667567104.0,413.7228698730469,418.1160255681822,408.13588638800337,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,1106879,
2015-02-03,TITAN,3206667567104.0,412.86328125,428.2394124915901,411.1919632703809,86.17402,130.932,0.3,,,,41.95,,178.742,,,,,27.60975,,,,,Consumer Cyclical,2245302,
