Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,TRENT.NS,TRENT.NS,TRENT.NS,,,,,,,,,,,,,,,,,,,,TRENT.NS,
2015-01-01,TRENT,1932782862336.0,143.961181640625,144.84462090440445,142.70884523096709,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,16570,
2015-01-02,TRENT,1932782862336.0,142.69424438476562,144.84458100032413,141.6991719015157,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,25380,
2015-01-05,TRENT,1932782862336.0,142.8593292236328,147.56289777528917,140.09251896500106,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,252680,
2015-01-06,TRENT,1932782862336.0,140.85458374023438,145.50476415746922,139.79640616543855,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,126520,
2015-01-07,TRENT,1932782862336.0,144.5096893310547,147.24251751922222,141.86424516254198,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,183230,
2015-01-08,TRENT,1932782862336.0,145.85911560058594,146.88332625178268,142.73311110427485,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,129620,
2015-01-09,TRENT,1932782862336.0,142.9224090576172,146.59206350193455,141.83510842622243,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,66360,
2015-01-12,TRENT,1932782862336.0,140.59732055664062,144.84946599786252,139.07315910422585,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,61560,
2015-01-13,TRENT,1932782862336.0,138.1654510498047,142.3253535583762,137.85478526836468,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,88120,
2015-01-14,TRENT,1932782862336.0,135.47633361816406,140.6701503769174,134.9472447457694,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,155910,
2015-01-15,TRENT,1932782862336.0,137.85964965820312,138.40815876668543,133.16578459183555,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,237060,
2015-01-16,TRENT,1932782862336.0,135.1705322265625,137.76258933833913,134.9423916194196,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,44940,
2015-01-19,TRENT,1932782862336.0,138.9906463623047,139.69933239506307,135.33069429609273,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,70260,
2015-01-20,TRENT,1932782862336.0,140.33522033691406,143.37385578460345,139.69934193305153,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,147650,
2015-01-21,TRENT,1932782862336.0,139.21881103515625,142.3836418505822,138.80621440285128,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,25060,
2015-01-22,TRENT,1932782862336.0,137.7771453857422,144.38834913301105,135.42779051075766,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,222800,
2015-01-23,TRENT,1932782862336.0,140.28668212890625,144.95626848053797,138.82561064720366,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,563340,
2015-01-27,TRENT,1932782862336.0,142.04385375976562,144.94171784133434,139.3110253522302,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,248670,
2015-01-28,TRENT,1932782862336.0,144.1019744873047,145.13588803306305,142.70400771069416,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,228890,
2015-01-29,TRENT,1932782862336.0,140.72354125976562,144.64075692776962,139.40809995203216,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,148310,
2015-01-30,TRENT,1932782862336.0,141.6215362548828,143.86410132235642,139.79155291290445,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,126810,
2015-02-02,TRENT,1932782862336.0,141.0050811767578,143.50006622656244,139.79642928880773,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,54050,
2015-02-03,TRENT,1932782862336.0,137.69944763183594,143.48547169818252,136.88883098554345,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,95810,
2015-02-04,TRENT,1932782862336.0,142.97097778320312,143.87382261467113,138.048971376722,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,378050,
2015-02-05,TRENT,1932782862336.0,145.01451110839844,148.2424462172604,142.2185780535308,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,764220,
2015-02-06,TRENT,1932782862336.0,143.30104064941406,147.25708225168842,141.54387966677808,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,128400,
2015-02-09,TRENT,1932782862336.0,142.40789794921875,145.62127163993543,141.74289651220093,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,50050,
2015-02-10,TRENT,1932782862336.0,140.9711151123047,143.58257765096138,138.51981465207487,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,132130,
2015-02-11,TRENT,1932782862336.0,143.90293884277344,144.5533787558105,138.97608870096724,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,110070,
2015-02-12,TRENT,1932782862336.0,142.32540893554688,144.91262248233247,141.25266944250592,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,41630,
2015-02-13,TRENT,1932782862336.0,142.06808471679688,143.6796300687198,141.480749836216,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,21530,
2015-02-16,TRENT,1932782862336.0,142.01470947265625,145.88338151531227,141.54386680902797,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,33580,
2015-02-18,TRENT,1932782862336.0,144.96597290039062,146.29113180462616,142.42731821297357,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,148030,
2015-02-19,TRENT,1932782862336.0,142.4176025390625,146.00474702049812,141.73803955864548,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,55340,
2015-02-20,TRENT,1932782862336.0,141.57301330566406,144.54854389587692,141.2720650238533,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,33110,
2015-02-23,TRENT,1932782862336.0,141.14096069335938,144.31064923020864,140.3934489609304,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,39430,
2015-02-24,TRENT,1932782862336.0,142.08753967285156,144.45145611701093,140.59734499651654,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,51820,
2015-02-25,TRENT,1932782862336.0,140.6021728515625,144.1650376612785,139.79640015639126,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,36960,
2015-02-26,TRENT,1932782862336.0,142.76222229003906,143.67964333934188,138.83046011691448,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,51950,
2015-02-27,TRENT,1932782862336.0,144.8106231689453,146.15034345219522,141.06330228953973,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,68900,
2015-03-02,TRENT,1932782862336.0,141.51962280273438,143.19913240644323,141.0584975892551,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,27720,
2015-03-03,TRENT,1932782862336.0,142.66030883789062,144.45145173967987,140.8643219665951,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,73120,
2015-03-04,TRENT,1932782862336.0,141.3642578125,145.52416017502804,140.78176689942964,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,69960,
2015-03-05,TRENT,1932782862336.0,142.57781982421875,144.54856022780282,141.44681943475376,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,36890,
2015-03-09,TRENT,1932782862336.0,141.70892333984375,143.67480470204694,140.37892038434643,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,39080,
2015-03-10,TRENT,1932782862336.0,143.7087860107422,144.65047147318697,141.35943113757313,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,52750,
2015-03-11,TRENT,1932782862336.0,143.3155975341797,145.03877660882273,137.07815027577766,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,297050,
2015-03-12,TRENT,1932782862336.0,143.25247192382812,146.20373748315896,142.52922447279784,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,69780,
2015-03-13,TRENT,1932782862336.0,146.08726501464844,150.47532376508806,143.68452276512676,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,351760,
2015-03-16,TRENT,1932782862336.0,144.45632934570312,147.465827257331,141.9419385102382,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,273700,
2015-03-17,TRENT,1932782862336.0,144.5727996826172,146.19890687874295,142.23314764823266,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,235740,
2015-03-18,TRENT,1932782862336.0,144.5,146.4367583195229,142.70885703782358,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,277730,
2015-03-19,TRENT,1932782862336.0,143.5874481201172,144.65048474678179,142.32539394824428,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,92310,
2015-03-20,TRENT,1932782862336.0,143.52915954589844,145.01935389608514,141.73801698184676,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,114570,
2015-03-23,TRENT,1932782862336.0,142.00015258789062,143.58256024884113,140.3789042944264,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,102050,
2015-03-24,TRENT,1932782862336.0,141.57785034179688,144.06796145881904,140.0051306517147,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,34880,
2015-03-25,TRENT,1932782862336.0,140.85943603515625,142.718527471983,138.83045017765582,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,139730,
2015-03-26,TRENT,1932782862336.0,141.96617126464844,142.61175235231514,139.31586840014984,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,119860,
2015-03-27,TRENT,1932782862336.0,143.66505432128906,144.55333732033438,138.82557477590248,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,177120,
2015-03-30,TRENT,1932782862336.0,143.05833435058594,144.16505539543056,141.55357828445966,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,106020,
2015-03-31,TRENT,1932782862336.0,142.68943786621094,144.0679842425046,141.34001456162073,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,202960,
2015-04-01,TRENT,1932782862336.0,143.78160095214844,144.84463753497167,143.19426590752371,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,23690,
2015-04-06,TRENT,1932782862336.0,144.27671813964844,146.88333672894487,142.41761146900055,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,264310,
2015-04-07,TRENT,1932782862336.0,142.4418487548828,145.51930918051468,141.9321655272152,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,49720,
2015-04-08,TRENT,1932782862336.0,140.75270080566406,143.78161922754165,140.1847711948794,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,134210,
2015-04-09,TRENT,1932782862336.0,138.26255798339844,141.54389576673182,137.2723290711838,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,195010,
2015-04-10,TRENT,1932782862336.0,137.0878448486328,139.40321728240423,136.40342322807825,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,56190,
2015-04-13,TRENT,1932782862336.0,135.02001953125,138.82558627244399,134.69965101609512,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,62570,
2015-04-15,TRENT,1932782862336.0,133.2919921875,137.36938437955686,132.51534252868913,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,33390,
2015-04-16,TRENT,1932782862336.0,134.91812133789062,135.4277898906286,132.03966278922815,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,155730,
2015-04-17,TRENT,1932782862336.0,134.52493286132812,136.20442731753505,133.54440685477257,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,81690,
2015-04-20,TRENT,1932782862336.0,128.05934143066406,134.45696532295398,126.33130363901915,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,112820,
2015-04-21,TRENT,1932782862336.0,125.35079956054688,128.9961905318454,123.38976948082772,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,135010,
2015-04-22,TRENT,1932782862336.0,124.73917388916016,127.0351262238152,123.79262979475666,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,112640,
2015-04-23,TRENT,1932782862336.0,120.16666412353516,126.0109349149811,117.96293228592799,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,273440,
2015-04-24,TRENT,1932782862336.0,115.24951934814453,119.8948412463789,113.97291129773193,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,205580,
2015-04-27,TRENT,1932782862336.0,112.25457000732422,116.50185665825879,108.73053826392506,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,110500,
2015-04-28,TRENT,1932782862336.0,116.25916290283203,117.56490144910191,111.40026929205422,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,49570,
2015-04-29,TRENT,1932782862336.0,112.29827117919922,117.21055959942773,111.77888509971461,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,66060,
2015-04-30,TRENT,1932782862336.0,110.54595947265625,113.09918299752586,106.30352393329684,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,193780,
2015-05-04,TRENT,1932782862336.0,114.7204360961914,119.7977676963339,110.67216651952788,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,201910,
2015-05-05,TRENT,1932782862336.0,114.65734100341797,117.17658283605356,113.70594541570654,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,26340,
2015-05-06,TRENT,1932782862336.0,109.23538208007812,115.72038392331164,108.27914240863244,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,46380,
2015-05-07,TRENT,1932782862336.0,109.87124633789062,112.41961845063592,108.34221862623517,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,39770,
2015-05-08,TRENT,1932782862336.0,114.1136703491211,114.8757584899712,109.97317316105676,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,60720,
2015-05-11,TRENT,1932782862336.0,113.81758117675781,115.99219744850862,113.10889515243352,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,44060,
2015-05-12,TRENT,1932782862336.0,108.48785400390625,115.04081162830327,107.27919470900108,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,184470,
2015-05-13,TRENT,1932782862336.0,109.94405364990234,111.66724007806913,108.53638440248747,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,534270,
2015-05-14,TRENT,1932782862336.0,112.07012176513672,113.48750111123374,108.8276179242374,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,64190,
2015-05-15,TRENT,1932782862336.0,111.92449951171875,113.00209741079699,110.23529499695292,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,45400,
2015-05-18,TRENT,1932782862336.0,113.80301666259766,114.55539467676847,111.65267954654124,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,23630,
2015-05-19,TRENT,1932782862336.0,115.5601806640625,116.39992785048658,113.62826662837858,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,22820,
2015-05-20,TRENT,1932782862336.0,126.2439193725586,128.91850128776602,116.32226362400502,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,441710,
2015-05-21,TRENT,1932782862336.0,125.12263488769531,128.5350258098839,124.02077269014647,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,339010,
2015-05-22,TRENT,1932782862336.0,124.42852783203125,126.20510922409704,123.05483286975182,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,27810,
2015-05-25,TRENT,1932782862336.0,121.5549087524414,126.10315076421898,120.86563573464379,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,17030,
2015-05-26,TRENT,1932782862336.0,120.46761322021484,124.06931897442867,119.02111074903438,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,23840,
2015-05-27,TRENT,1932782862336.0,120.93846130371094,122.70048103402127,118.24447374449434,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,54570,
2015-05-28,TRENT,1932782862336.0,118.64734649658203,120.18608434721114,116.88533426565347,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,65320,
2015-05-29,TRENT,1932782862336.0,115.65241241455078,120.30258595707346,114.67675255131302,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,360950,
2015-06-01,TRENT,1932782862336.0,115.33203887939453,119.30749298673082,114.36123049625714,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,70510,
2015-06-02,TRENT,1932782862336.0,115.79318237304688,119.11334558097816,114.56025146167136,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,77650,
2015-06-03,TRENT,1932782862336.0,110.96341705322266,114.55540562279019,106.3035331838604,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,81950,
2015-06-04,TRENT,1932782862336.0,112.21089935302734,115.03595563742681,109.71107043333865,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,79070,
2015-06-05,TRENT,1932782862336.0,110.27413177490234,114.06999648990077,109.60427895971743,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,38500,
2015-06-08,TRENT,1932782862336.0,110.1819076538086,111.8225688970905,108.24514213045065,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,280650,
2015-06-09,TRENT,1932782862336.0,108.53636932373047,111.64295287586539,108.24512387529558,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,15850,
2015-06-10,TRENT,1932782862336.0,110.1624755859375,111.35171432850467,108.73538613218493,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,24070,
2015-06-11,TRENT,1932782862336.0,111.30804443359375,113.97776773786589,110.67216606800878,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,124170,
2015-06-12,TRENT,1932782862336.0,111.06048583984375,111.83712813960122,109.2159483420639,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,45760,
2015-06-15,TRENT,1932782862336.0,109.09459686279297,111.91479415502253,107.96845553351879,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,32870,
2015-06-16,TRENT,1932782862336.0,108.61405944824219,110.27899998658306,107.34230259984088,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,19080,
2015-06-17,TRENT,1932782862336.0,116.33197021484375,117.75905972172467,108.92469751849613,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,136700,
2015-06-18,TRENT,1932782862336.0,115.6669692993164,118.2396131683262,114.57966857763185,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,38130,
2015-06-19,TRENT,1932782862336.0,118.14253234863281,119.40943765415756,113.68166639916673,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,46760,
2015-06-22,TRENT,1932782862336.0,115.56503295898438,119.40943333864648,114.66218084966886,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,50260,
2015-06-23,TRENT,1932782862336.0,114.5553970336914,117.4678223820056,113.96320328699973,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,37780,
2015-06-24,TRENT,1932782862336.0,111.61385345458984,114.98741148126952,111.21096704180925,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,93530,
2015-06-25,TRENT,1932782862336.0,111.5070571899414,113.08947226908555,110.67701272091331,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,26630,
2015-06-26,TRENT,1932782862336.0,110.49256134033203,112.0264329960848,109.08974348686564,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,41090,
2015-06-29,TRENT,1932782862336.0,109.33731842041016,109.98775840388689,108.34223812548072,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,25970,
2015-06-30,TRENT,1932782862336.0,109.40040588378906,113.06520183318085,108.73539706335369,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,77380,
2015-07-01,TRENT,1932782862336.0,111.88081359863281,113.0991754401888,107.76943954696364,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,75750,
2015-07-02,TRENT,1932782862336.0,111.91480255126953,113.08947994595991,111.15757310731054,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,63870,
2015-07-03,TRENT,1932782862336.0,113.0020980834961,113.5845816361918,110.19160364655197,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,70360,
2015-07-06,TRENT,1932782862336.0,114.39036560058594,114.87091106053398,111.6429758095815,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,41060,
2015-07-07,TRENT,1932782862336.0,116.00189971923828,116.6911728305463,114.11853636111522,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,43170,
2015-07-08,TRENT,1932782862336.0,114.65247344970703,116.69116965977813,113.00695346648129,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,60760,
2015-07-09,TRENT,1932782862336.0,116.30770874023438,118.14253615119809,114.65247852561279,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,46040,
2015-07-10,TRENT,1932782862336.0,117.8270263671875,121.05981293489351,114.84664466822196,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,221540,
2015-07-13,TRENT,1932782862336.0,118.0745849609375,120.86565942558452,116.49702113309353,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,31280,
2015-07-14,TRENT,1932782862336.0,118.1376724243164,120.375386004131,117.2736535711427,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,12470,
2015-07-15,TRENT,1932782862336.0,116.27371978759766,118.53570515623736,115.62327993172696,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,27920,
2015-07-16,TRENT,1932782862336.0,116.92903900146484,118.66678724667779,116.01162519057651,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,1593970,
2015-07-17,TRENT,1932782862336.0,115.82716369628906,118.43864102006626,114.84665241081873,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,90400,
2015-07-20,TRENT,1932782862336.0,114.85149383544922,116.84165411822903,114.36608961103275,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,23600,
2015-07-21,TRENT,1932782862336.0,115.56503295898438,117.856141378179,113.08946857343787,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,22600,
2015-07-22,TRENT,1932782862336.0,115.21070098876953,117.4678277746598,113.1962689196996,121.6059,153.641,0.09,,,,44.71,,40.069,,,,,35.387688,,,,,Consumer Cyclical,21560,
